nome_munic	CASOS	OBITOS
ADAMANTINA	3757	132
ADOLFO	624	19
AGUAI	3574	109
AGUAS DA PRATA	639	26
AGUAS DE LINDOIA	2023	50
AGUAS DE SANTA BARBARA	590	18
AGUAS DE SAO PEDRO	455	11
AGUDOS	4673	110
ALAMBARI	679	12
ALFREDO MARCONDES	265	13
ALTAIR	334	17
ALTINOPOLIS	1016	50
ALTO ALEGRE	395	21
ALUMINIO	1604	52
ALVARES FLORENCE	616	14
ALVARES MACHADO	2412	73
ALVARO DE CARVALHO	161	9
ALVINLANDIA	142	9
AMERICANA	26633	825
AMERICO BRASILIENSE	4245	97
AMERICO DE CAMPOS	1168	35
AMPARO	7488	137
ANALANDIA	377	5
ANDRADINA	6786	274
ANGATUBA	3185	77
ANHEMBI	329	9
ANHUMAS	343	7
APARECIDA	2869	112
APARECIDA D'OESTE	842	18
APIAI	1741	85
ARACARIGUAMA	2085	69
ARACATUBA	30016	916
ARACOIABA DA SERRA	3068	83
ARAMINA	360	18
ARANDU	621	20
ARAPEI	255	3
ARARAQUARA	25195	508
ARARAS	18141	396
ARCO-IRIS	165	8
AREALVA	1008	20
AREIAS	366	2
AREIOPOLIS	1403	21
ARIRANHA	1013	26
ARTUR NOGUEIRA	5443	143
ARUJA	8295	332
ASPASIA	212	8
ASSIS	11756	408
ATIBAIA	12568	279
AURIFLAMA	2067	73
AVAI	486	12
AVANHANDAVA	1192	43
AVARE	11591	276
BADY BASSITT	4131	83
BALBINOS	371	4
BALSAMO	1772	66
BANANAL	1046	4
BARAO DE ANTONINA	517	10
BARBOSA	767	20
BARIRI	3170	132
BARRA BONITA	3793	113
BARRA DO CHAPEU	435	6
BARRA DO TURVO	683	18
BARRETOS	17588	577
BARRINHA	1694	72
BARUERI	34313	1148
BASTOS	2031	45
BATATAIS	6268	172
BAURU	52779	1229
BEBEDOURO	4427	190
BENTO DE ABREU	363	5
BERNARDINO DE CAMPOS	867	32
BERTIOGA	6028	163
BILAC	944	18
BIRIGUI	17674	590
BIRITIBA MIRIM	1524	101
BOA ESPERANCA DO SUL	1736	21
BOCAINA	1355	35
BOFETE	964	22
BOITUVA	6563	188
BOM JESUS DOS PERDOES	2458	29
BOM SUCESSO DE ITARARE	257	6
BORA	127	1
BORACEIA	979	24
BORBOREMA	1708	52
BOREBI	288	4
BOTUCATU	18700	311
BRAGANCA PAULISTA	21573	572
BRAUNA	618	24
BREJO ALEGRE	400	13
BRODOWSKI	2802	76
BROTAS	2108	69
BURI	2674	93
BURITAMA	2651	75
BURITIZAL	348	10
CABRALIA PAULISTA	447	9
CABREUVA	4795	122
CACAPAVA	8849	272
CACHOEIRA PAULISTA	2652	44
CACONDE	1432	39
CAFELANDIA	820	46
CAIABU	315	7
CAIEIRAS	9502	323
CAIUA	401	10
CAJAMAR	5377	233
CAJATI	4636	103
CAJOBI	1081	31
CAJURU	1975	57
CAMPINA DO MONTE ALEGRE	611	23
CAMPINAS	111138	4416
CAMPO LIMPO PAULISTA	6272	268
CAMPOS DO JORDAO	5500	139
CAMPOS NOVOS PAULISTA	304	10
CANANEIA	898	30
CANAS	223	4
CANDIDO MOTA	4468	160
CANDIDO RODRIGUES	142	7
CANITAR	868	23
CAPAO BONITO	5968	72
CAPELA DO ALTO	1622	35
CAPIVARI	5846	110
CARAGUATATUBA	17770	458
CARAPICUIBA	32915	1124
CARDOSO	1645	60
CASA BRANCA	3173	97
CASSIA DOS COQUEIROS	253	1
CASTILHO	2382	87
CATANDUVA	15409	612
CATIGUA	861	39
CEDRAL	1343	30
CERQUEIRA CESAR	2163	48
CERQUILHO	6463	156
CESARIO LANGE	2330	67
CHARQUEADA	1465	43
CHAVANTES	1321	48
CLEMENTINA	956	15
COLINA	1527	58
COLOMBIA	678	14
CONCHAL	2870	73
CONCHAS	2409	72
CORDEIROPOLIS	5843	96
COROADOS	753	20
CORONEL MACEDO	646	25
CORUMBATAI	401	7
COSMOPOLIS	7825	171
COSMORAMA	792	38
COTIA	15830	635
CRAVINHOS	2206	96
CRISTAIS PAULISTA	1294	14
CRUZALIA	199	6
CRUZEIRO	6710	100
CUBATAO	13511	471
CUNHA	944	13
DESCALVADO	4090	81
DIADEMA	26132	1366
DIRCE REIS	192	5
