CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NM_CANDIDATO,QT_VOTOS_NOMINAIS
64912,IBIRAREMA,83,JAIR MESSIAS BOLSONARO,2629
67970,OURO VERDE,149,JAIR MESSIAS BOLSONARO,2244
67890,OSASCO,315,FERNANDO HADDAD,31898
69698,RIBEIRAO PRETO,305,FERNANDO HADDAD,18080
65870,JABOTICABAL,61,FERNANDO HADDAD,7937
62057,BARRA BONITA,200,FERNANDO HADDAD,4666
69051,PONTAL,135,FERNANDO HADDAD,5791
63355,CHARQUEADA,244,FERNANDO HADDAD,1865
64750,GUARUJA,310,FERNANDO HADDAD,23538
71170,SAO SEBASTIAO DA GRAMA,229,FERNANDO HADDAD,1695
63851,DOLCINOPOLIS,233,FERNANDO HADDAD,831
71471,SUD MENNUCCI,88,FERNANDO HADDAD,1739
61476,ANHUMAS,182,FERNANDO HADDAD,724
61557,ARACATUBA,11,FERNANDO HADDAD,9560
63690,CRUZEIRO,42,FERNANDO HADDAD,9254
71790,TARABAI,261,FERNANDO HADDAD,1704
64637,GUARANTA,31,FERNANDO HADDAD,947
63134,CARAPICUIBA,303,FERNANDO HADDAD,24336
64459,GUAICARA,297,FERNANDO HADDAD,1471
66559,LUIZIANIA,289,FERNANDO HADDAD,870
71072,SAO PAULO,381,FERNANDO HADDAD,82444
70718,SANTOS,272,FERNANDO HADDAD,20231
69159,PORTO FERREIRA,194,FERNANDO HADDAD,5502
61727,HORTOLANDIA,361,FERNANDO HADDAD,35843
61204,ILHA SOLTEIRA,368,FERNANDO HADDAD,4182
69116,PORANGABA,140,FERNANDO HADDAD,1109
64777,GUARULHOS,185,FERNANDO HADDAD,42657
63339,CESARIO LANGE,355,FERNANDO HADDAD,1466
61921,ZACARIAS,214,FERNANDO HADDAD,457
61212,ALTO ALEGRE,289,FERNANDO HADDAD,576
65854,JABORANDI,178,FERNANDO HADDAD,1280
62898,CAJURU,32,FERNANDO HADDAD,4320
62073,BARRA DO TURVO,228,FERNANDO HADDAD,1802
65234,IPEUNA,245,FERNANDO HADDAD,744
65536,ITAPIRA,54,FERNANDO HADDAD,7478
61859,AVAI,300,FERNANDO HADDAD,1120
70718,SANTOS,273,FERNANDO HADDAD,20461
69310,PRESIDENTE VENCESLAU,102,FERNANDO HADDAD,4254
71293,SERRA AZUL,109,FERNANDO HADDAD,1861
65650,ITARARE,57,FERNANDO HADDAD,5886
66451,LORENA,68,FERNANDO HADDAD,8929
65293,IRACEMAPOLIS,243,FERNANDO HADDAD,2732
71072,SAO PAULO,259,FERNANDO HADDAD,30825
71072,SAO PAULO,254,FERNANDO HADDAD,32009
66931,MERIDIANO,302,FERNANDO HADDAD,734
67792,OLIMPIA,80,FERNANDO HADDAD,6422
62910,CAMPINAS,274,FERNANDO HADDAD,16908
71218,SAO VICENTE,177,FERNANDO HADDAD,19673
66893,MAUA,339,FERNANDO HADDAD,25361
65250,IPORANGA,148,FERNANDO HADDAD,1195
66591,LUTECIA,12,FERNANDO HADDAD,677
71072,SAO PAULO,247,FERNANDO HADDAD,30096
61964,MESOPOLIS,427,FERNANDO HADDAD,447
68918,PITANGUEIRAS,98,FERNANDO HADDAD,5335
65692,ITATIBA,58,FERNANDO HADDAD,11253
68810,PIRANGI,76,FERNANDO HADDAD,1129
62421,RIBEIRAO DOS INDIOS,117,FERNANDO HADDAD,590
64033,EMBU-GUACU,370,FERNANDO HADDAD,12537
65714,ITATINGA,26,FERNANDO HADDAD,2481
61751,ARTUR NOGUEIRA,75,FERNANDO HADDAD,6342
67610,NOVA GRANADA,78,FERNANDO HADDAD,3403
62197,BAURU,23,FERNANDO HADDAD,18347
65552,ITAPOLIS,55,FERNANDO HADDAD,4029
64130,FERNANDO PRESTES,139,FERNANDO HADDAD,671
63550,CORUMBATAI,245,FERNANDO HADDAD,414
71072,SAO PAULO,258,FERNANDO HADDAD,31081
65773,ITOBI,39,FERNANDO HADDAD,1425
68675,PINHALZINHO,136,FERNANDO HADDAD,1364
65919,JACI,72,FERNANDO HADDAD,965
66958,MIGUELOPOLIS,208,FERNANDO HADDAD,4069
66494,LUCELIA,69,FERNANDO HADDAD,2091
69515,REGINOPOLIS,95,FERNANDO HADDAD,595
64157,FERRAZ DE VASCONCELOS,401,FERNANDO HADDAD,36186
69434,RAFARD,38,FERNANDO HADDAD,1022
71072,SAO PAULO,260,FERNANDO HADDAD,45445
61980,NOVA CAMPINA,53,FERNANDO HADDAD,1960
71218,SAO VICENTE,340,FERNANDO HADDAD,37742
70637,SANTO ANTONIO DO JARDIM,91,FERNANDO HADDAD,849
67890,OSASCO,213,FERNANDO HADDAD,14904
70572,SANTO ANDRE,306,FERNANDO HADDAD,18072
66273,LAGOINHA,128,FERNANDO HADDAD,949
66214,JUNQUEIROPOLIS,196,FERNANDO HADDAD,2297
69892,RUBIACEA,151,FERNANDO HADDAD,468
62553,BRAUNA,289,FERNANDO HADDAD,677
64530,GUAPIARA,37,FERNANDO HADDAD,4528
68179,PARANAPANEMA,301,FERNANDO HADDAD,3381
71072,SAO PAULO,373,FERNANDO HADDAD,44036
66699,MAIRINQUE,131,FERNANDO HADDAD,7040
71072,SAO PAULO,5,FERNANDO HADDAD,22716
64238,FLORINEA,290,FERNANDO HADDAD,714
68993,POLONI,77,FERNANDO HADDAD,772
62154,BASTOS,184,FERNANDO HADDAD,1970
67075,MIRASSOL,72,FERNANDO HADDAD,6403
62693,CABREUVA,59,FERNANDO HADDAD,5680
62022,LOURDES,214,FERNANDO HADDAD,428
71072,SAO PAULO,349,FERNANDO HADDAD,29400
66338,LAVRINHAS,42,FERNANDO HADDAD,1379
70270,SANTA CRUZ DAS PALMEIRAS,39,FERNANDO HADDAD,4002
64939,IBITINGA,49,FERNANDO HADDAD,6888
62910,CAMPINAS,380,FERNANDO HADDAD,23038
71358,SERTAOZINHO,135,FERNANDO HADDAD,17181
71498,SUMARE,362,FERNANDO HADDAD,27473
71935,TIMBURI,94,FERNANDO HADDAD,500
62634,BURITAMA,214,FERNANDO HADDAD,2393
62910,CAMPINAS,379,FERNANDO HADDAD,35467
70530,SANTA ROSA DE VITERBO,133,FERNANDO HADDAD,3554
70718,SANTOS,118,FERNANDO HADDAD,27093
66397,LIMEIRA,66,FERNANDO HADDAD,14132
61840,TAQUARIVAI,53,FERNANDO HADDAD,980
68578,PIEDADE,89,FERNANDO HADDAD,7451
68950,PLATINA,83,FERNANDO HADDAD,564
61395,ANALANDIA,245,FERNANDO HADDAD,556
67016,MIRA ESTRELA,224,FERNANDO HADDAD,569
61662,ESTIVA GERBI,216,FERNANDO HADDAD,1395
68039,PALMARES PAULISTA,111,FERNANDO HADDAD,1779
61972,BANANAL,18,FERNANDO HADDAD,2428
66818,MARILIA,400,FERNANDO HADDAD,12452
71056,SAO MIGUEL ARCANJO,318,FERNANDO HADDAD,4560
61760,ELISIARIO,40,FERNANDO HADDAD,444
61255,ALVARES MACHADO,182,FERNANDO HADDAD,3640
68250,PARIQUERA-ACU,228,FERNANDO HADDAD,2407
61450,ANHEMBI,41,FERNANDO HADDAD,884
72338,VARZEA PAULISTA,242,FERNANDO HADDAD,15480
63630,CRAVINHOS,293,FERNANDO HADDAD,3539
68730,PIRACAIA,92,FERNANDO HADDAD,2878
64254,FRANCA,291,FERNANDO HADDAD,21715
66397,LIMEIRA,399,FERNANDO HADDAD,13125
64777,GUARULHOS,395,FERNANDO HADDAD,31610
66737,MANDURI,94,FERNANDO HADDAD,1205
67555,NIPOA,77,FERNANDO HADDAD,913
69396,QUELUZ,42,FERNANDO HADDAD,1904
67130,MOGI DAS CRUZES,287,FERNANDO HADDAD,30542
64777,GUARULHOS,393,FERNANDO HADDAD,22820
71072,SAO PAULO,280,FERNANDO HADDAD,47919
67415,MORUNGABA,58,FERNANDO HADDAD,1355
71773,TAQUARITUBA,236,FERNANDO HADDAD,4108
72079,TURMALINA,233,FERNANDO HADDAD,475
63614,COTIA,286,FERNANDO HADDAD,14920
70572,SANTO ANDRE,383,FERNANDO HADDAD,29005
70050,SALTO,221,FERNANDO HADDAD,15501
61069,MOTUCA,239,FERNANDO HADDAD,981
65633,ITAQUAQUECETUBA,419,FERNANDO HADDAD,35932
67717,NOVO HORIZONTE,79,FERNANDO HADDAD,4435
68292,PAULICEIA,175,FERNANDO HADDAD,1182
71072,SAO PAULO,348,FERNANDO HADDAD,19589
71072,SAO PAULO,248,FERNANDO HADDAD,42211
64572,GUARACAI,153,FERNANDO HADDAD,1200
70939,SAO JOSE DO BARREIRO,18,FERNANDO HADDAD,1027
65013,IGARACU DO TIETE,200,FERNANDO HADDAD,3418
63096,CAPIVARI,38,FERNANDO HADDAD,5228
64114,FERNANDOPOLIS,150,FERNANDO HADDAD,9414
66079,JAU,63,FERNANDO HADDAD,12272
63576,COSMOPOLIS,360,FERNANDO HADDAD,9109
66893,MAUA,365,FERNANDO HADDAD,32825
68470,PENAPOLIS,87,FERNANDO HADDAD,7460
70033,SALMOURAO,69,FERNANDO HADDAD,934
66150,JOSE BONIFACIO,64,FERNANDO HADDAD,4393
61611,ARANDU,301,FERNANDO HADDAD,1206
68055,PALMEIRA D OESTE,232,FERNANDO HADDAD,1698
69418,QUINTANA,99,FERNANDO HADDAD,1051
70793,SAO CARLOS,410,FERNANDO HADDAD,18175
71072,SAO PAULO,403,FERNANDO HADDAD,30317
71714,TAPIRAI,89,FERNANDO HADDAD,1245
70998,SAO JOSE DOS CAMPOS,282,FERNANDO HADDAD,13900
64416,GETULINA,297,FERNANDO HADDAD,1414
67350,MONTEIRO LOBATO,282,FERNANDO HADDAD,844
63070,CAPELA DO ALTO,140,FERNANDO HADDAD,1976
69272,PRESIDENTE EPITACIO,195,FERNANDO HADDAD,5915
62910,CAMPINAS,423,FERNANDO HADDAD,17919
69795,RIO CLARO,288,FERNANDO HADDAD,10080
70572,SANTO ANDRE,263,FERNANDO HADDAD,25038
63797,DIVINOLANDIA,229,FERNANDO HADDAD,1519
71072,SAO PAULO,252,FERNANDO HADDAD,23352
62251,BERNARDINO DE CAMPOS,114,FERNANDO HADDAD,1386
63819,DOBRADA,170,FERNANDO HADDAD,1868
72397,VIRADOURO,98,FERNANDO HADDAD,2120
69779,RINOPOLIS,210,FERNANDO HADDAD,1079
70459,SANTANA DA PONTE PENSA,187,FERNANDO HADDAD,336
62090,BARRETOS,21,FERNANDO HADDAD,14354
66133,JOAO RAMALHO,106,FERNANDO HADDAD,877
71072,SAO PAULO,256,FERNANDO HADDAD,38789
71072,SAO PAULO,257,FERNANDO HADDAD,35413
72273,VALPARAISO,146,FERNANDO HADDAD,3071
70750,SAO BERNARDO DO CAMPO,296,FERNANDO HADDAD,32348
64777,GUARULHOS,176,FERNANDO HADDAD,24410
70815,SAO FRANCISCO,232,FERNANDO HADDAD,604
71994,TRES FRONTEIRAS,187,FERNANDO HADDAD,981
65110,INDAIATUBA,211,FERNANDO HADDAD,26816
62065,ARCO-IRIS,143,FERNANDO HADDAD,421
62243,IPIGUA,312,FERNANDO HADDAD,632
71919,TIETE,142,FERNANDO HADDAD,3825
69531,REGISTRO,172,FERNANDO HADDAD,8333
