Usd_raw,Dollar_price,Eur_raw,Cny_raw,Date,Gbp_raw,Jpy_raw,Local_price,Dollar_ex
-0.00398,2.5,0.05007,1.09091,2000-04-01,-0.16722,-0.09864,2.5,1
-0.01575,2.5,0.10541,1.09091,2001-04-01,-0.12148,0.05442,2.5,1
-0.67923,0.798722044728435,-0.66388,-0.37015,2002-04-01,-0.72319,-0.60369,2.5,3.13
-0.47468,1.42361111111111,-0.52244,0.19066,2003-04-01,-0.54723,-0.34796,4.1,2.88
-0.49036,1.47796610169492,-0.5505,0.17669,2004-05-01,-0.56081,-0.36256,4.36,2.95
-0.46417,1.6396272005523,-0.5424,0.2924,2005-06-01,-0.52342,-0.30011,4.75,2.897
-0.50782,1.55036229518898,-0.55878,0.19069,2006-01-01,-0.53248,-0.29114,4.75,3.0638
-0.26123,2.29020121053493,-0.39202,0.75059,2006-05-01,-0.3722,0.02697,7,3.0565
-0.1705,2.67098340752732,-0.29881,0.88773,2007-01-01,-0.30329,0.15983,8.25,3.08875
-0.21742,2.66860747210092,-0.35957,0.84491,2007-06-01,-0.33404,0.16575,8.25,3.0915
0.02044,3.64298724954463,-0.31814,0.99169,2008-06-01,-0.20293,0.39026,11,3.0195
-0.15479,3.01738274844211,-0.34648,0.64935,2009-07-01,-0.1819,-0.12717,11.5,3.81125
-0.48524,1.84283269711728,-0.61956,0.00651,2010-01-01,-0.49805,-0.47283,7,3.7985
-0.04671,3.55894502700985,-0.17855,0.82717,2010-07-01,0.02164,-0.03041,14,3.93375
0.19057,4.83968542044767,-0.018,1.12913,2011-07-01,0.24361,0.18519,20,4.1325
0.10469,4.63660600440478,0.04647,0.90146,2012-01-01,0.21269,0.11452,20,4.3135
-0.03848,4.16096359156857,-0.04223,0.69855,2012-07-01,-3.4e-4,0.0171,19,4.56625
-0.12581,3.81794433839044,-0.21732,0.48432,2013-01-01,-0.10128,0.0865,19,4.9765
-0.14852,3.87990762124711,-0.16729,0.48748,2013-07-01,-0.03487,0.21374,21,5.4125
-0.34385,3.03413400758534,-0.38851,0.10605,2014-01-01,-0.34423,0.0203,21,6.92125
-0.46386,2.5707727620505,-0.48102,-0.05713,2014-07-01,-0.47803,-0.29457,21,8.16875
-0.32108,3.2520325203252,-0.2373,0.17442,2015-01-01,-0.25553,0.03507,28,8.61
-0.3601,3.06513409961686,-0.24391,0.11953,2015-07-01,-0.32074,0.0267,28,9.135
-0.51527,2.3897025544472,-0.40242,-0.10954,2016-01-01,-0.43397,-0.23371,33,13.80925
-0.33575,3.3478406427854,-0.20396,0.20198,2016-07-01,-0.15034,-0.03433,50,14.935
-0.31455,3.46839035156866,-0.14609,0.22572,2017-01-01,-0.06974,0.06484,55,15.8575
-0.2216,4.12553410932665,-0.07603,0.41425,2017-07-01,0.00343,0.22745,70,16.9675
-0.24992,3.96039603960396,-0.18102,0.24869,2018-01-01,-0.10257,0.15399,75,18.9375
-0.50905,2.70513976555455,-0.4287,-0.12617,2018-07-01,-0.36072,-0.22834,75,27.725
-0.64115,2.00240288346015,-0.56862,-0.34374,2019-01-01,-0.50837,-0.44323,75,37.455
-0.49991,2.87050437153895,-0.37219,-0.05894,2019-07-09,-0.3001,-0.19946,120,41.8045
-0.4979,2.84688740310594,-0.37869,-0.08833,2020-01-14,-0.35448,-0.19674,171,60.0656
-0.38542,3.50923243962541,-0.26679,0.13258,2020-07-01,-0.17957,-0.03474,250,71.24065
-0.33777,3.74823130335373,-0.27416,0.08349,2021-01-01,-0.15537,0.00236,320,85.3736
-0.30184,3.94461961669716,-0.21462,0.14107,2021-07-01,-0.16963,0.11193,380,96.33375
