usd_raw,local_price,jpy_raw,dollar_ex,date,gbp_raw,dollar_price,eur_raw,cny_raw
-0.38579,2.59,-0.44416,1.68,2000-04-01,-0.48645,1.54166666666667,-0.35246,0.28939
-0.40348,3,-0.36096,1.98,2001-04-01,-0.46756,1.51515151515152,-0.33005,0.26722
-0.35225,3,-0.1997,1.86,2002-04-01,-0.44103,1.61290322580645,-0.32125,0.27189
-0.31242,3,-0.14656,1.61,2003-04-01,-0.40737,1.86335403726708,-0.37492,0.55844
-0.2163,3.25,-0.01978,1.43,2004-05-01,-0.32464,2.27272727272727,-0.30878,0.80944
-0.18395,3.25,0.06592,1.3015,2005-06-01,-0.27418,2.49711870918171,-0.30309,0.9683
-0.22472,3.25,0.1166,1.3308,2006-01-01,-0.26356,2.44214006612564,-0.30499,0.87559
-0.21324,3.25,0.09368,1.33253,2006-05-01,-0.33142,2.43896947911116,-0.35253,0.8643
-0.15427,3.45,0.18253,1.266865,2007-01-01,-0.28966,2.72325780568569,-0.28509,0.92467
-0.13527,3.45,0.28812,1.17,2007-06-01,-0.26414,2.94871794871795,-0.29235,1.03856
-0.0581,3.45,0.28324,1.026,2008-06-01,-0.26429,3.36257309941521,-0.37062,0.83839
-0.05534,4.34,-0.02447,1.2869,2009-07-01,-0.08563,3.37244541145388,-0.26958,0.84343
0.11114,4.35,0.13792,1.09355,2010-01-01,0.0835,3.97787023912944,-0.1788,1.17262
0.02775,4.35,0.04532,1.133722578,2010-07-01,0.10144,3.83691750028815,-0.11439,0.96988
0.21617,4.56,0.21067,0.922381589,2011-07-01,0.27035,4.94372400141217,0.00311,1.1749
0.17615,4.8,0.18663,0.972337012,2012-01-01,0.29115,4.93656000004245,0.11417,1.02447
0.08149,4.56,0.14401,0.974326497,2012-07-01,0.1244,4.68015599908292,0.07728,0.91049
0.12205,4.7,0.39456,0.959094615,2013-01-01,0.15354,4.90045499838408,0.0046,0.90517
0.01387,5.035,0.44522,1.089858863,2013-07-01,0.1492,4.61986425117506,-0.00848,0.77117
-0.03257,5.05,0.50434,1.128859288,2014-01-01,-0.03312,4.47354249877067,-0.09841,0.63077
0.00399,5.1,0.32103,1.059378145,2014-07-01,-0.02254,4.81414500013119,-0.02814,0.76565
-0.09839,5.3,0.37457,1.227219734,2015-01-01,-0.01134,4.31870499892076,0.01287,0.55963
-0.18116,5.3,0.3138,1.35126005,2015-07-01,-0.13079,3.92226499999019,-0.03247,0.4326
-0.24064,5.3,0.20045,1.415728746,2016-01-01,-0.11327,3.74365500098421,-0.06385,0.39498
-0.14589,5.75,0.24168,1.335737661,2016-07-01,0.09251,4.30473750039754,0.02357,0.54554
-0.1551,5.8,0.31254,1.356668023,2017-01-01,0.14665,4.27518000105469,0.05254,0.51084
-0.14567,5.9,0.34719,1.303016483,2017-07-01,0.10131,4.52795500055083,0.01409,0.5522
-0.10869,5.9,0.37128,1.253682693,2018-01-01,0.06641,4.70613499966375,-0.02681,0.48382
-0.1805,6.05,0.28805,1.33985395591881,2018-07-01,0.06709,4.51541749999998,-0.04639,0.45859
-0.22006,6.1,0.21009,1.40163991870488,2019-01-01,0.06851,4.35204500000001,-0.06244,0.42633
-0.25782,6.15,0.18808,1.4436263894904,2019-07-09,0.03872,4.260105,-0.06827,0.39662
-0.21497,6.45,0.25591,1.44906535284741,2020-01-14,0.00928,4.45114500000001,-0.02857,0.4254
-0.19817,6.55,0.25937,1.43061516452074,2020-07-01,0.0704,4.57845000000001,-0.04339,0.47766
-0.1193,6.48,0.33303,1.29996750081248,2021-01-01,0.12327,4.98474,-0.03471,0.44092
-0.15169,6.55,0.35106,1.36658694909464,2021-07-01,0.00896,4.79296249999999,-0.04572,0.38647
