EUR_RAW,DOLLAR_EX,JPY_RAW,USD_RAW,GBP_RAW,CNY_RAW,LOCAL_PRICE,DOLLAR_PRICE,DATE
-0.18566,1.47,-0.30099,-0.22758,-0.35417,0.62152,2.85,1.93877551020408,2000-04-01
-0.05615,1.56,-0.09969,-0.1596,-0.24988,0.78531,3.33,2.13461538461538,2001-04-01
-0.10743,1.57,0.05241,-0.14819,-0.26494,0.67258,3.33,2.12101910828025,2002-04-01
-0.25968,1.45,0.01079,-0.18565,-0.29811,0.84577,3.2,2.20689655172414,2003-04-01
-0.29183,1.37,0.00426,-0.19708,-0.30807,0.85382,3.19,2.32846715328467,2004-05-01
-0.26733,1.2494,0.12062,-0.14207,-0.23693,1.06931,3.28,2.62526012485993,2005-06-01
-0.14409,1.1704,0.3751,-0.04523,-0.09306,1.3098,3.52,3.00751879699248,2006-01-01
-0.166,1.12045,0.40875,0.01342,-0.13881,1.40138,3.52,3.1415948949083,2006-05-01
-0.18887,1.17485,0.34167,-0.04045,-0.19406,1.1837,3.63,3.08975613908159,2007-01-01
-0.11609,1.05345,0.60894,0.0801,-0.08086,1.54629,3.88,3.68313636147895,2007-06-01
-0.23718,1.00355,0.55532,0.14161,-0.1083,1.22817,4.09,4.07553186189029,2008-06-01
-0.27422,1.16085,-0.03067,-0.06135,-0.09145,0.83171,3.89,3.35099280699487,2009-07-01
-0.17964,1.0368,0.13675,0.10999,0.08238,1.17038,4.12,3.97376543209877,2010-01-01
-0.07662,1.04235,0.08991,0.07158,0.14842,1.0539,4.17,4.00057562239171,2010-07-01
0.01469,0.94585,0.22465,0.23021,0.28501,1.20001,4.73,5.00079293756938,2011-07-01
0.04564,1.02095,0.11364,0.10381,0.21173,0.89996,4.73,4.63293990890837,2012-01-01
0.15603,1.01945,0.22764,0.16056,0.2066,1.05016,5.12,5.02231595468145,2012-07-01
0.10585,1.0029,0.53512,0.23514,0.2698,1.09719,5.41,5.39435636653704,2013-01-01
0.12899,1.05125,0.6456,0.15444,0.30854,1.01674,5.53,5.26040428061831,2013-07-01
0.01033,1.1051,0.68578,0.08411,0.0835,0.82746,5.54,5.01312098452629,2014-01-01
0.06008,1.07405,0.44094,0.09513,0.06619,0.92593,5.64,5.25115218099716,2014-07-01
0.08813,1.22855,0.47671,-0.0314,0.06213,0.67552,5.7,4.63961580725245,2015-01-01
0.11891,1.2897,0.51936,-0.05304,0.00521,0.65674,5.85,4.53593859036985,2015-07-01
0.03631,1.4092,0.32889,-0.15939,-0.0184,0.54423,5.84,4.14419528810673,2016-01-01
0.0949,1.303,0.32822,-0.08636,0.16865,0.65326,6,4.60475825019187,2016-07-01
0.1103,1.326,0.38457,-0.10873,0.20958,0.59376,5.98,4.50980392156863,2017-01-01
0.0427,1.2823,0.38519,-0.12157,0.13238,0.59599,5.97,4.65569679482181,2017-07-01
0.08715,1.2459,0.53186,-0.00431,0.1913,0.65758,6.55,5.25724375953126,2018-01-01
0.07015,1.31235,0.44546,-0.08035,0.1975,0.63684,6.65,5.06724578047015,2018-07-01
0.09543,1.3314,0.41386,-0.08873,0.24844,0.6665,6.77,5.08487306594562,2019-01-01
0.12766,1.31305,0.43791,-0.10175,0.25714,0.69031,6.77,5.1559346559537,2019-07-09
0.13084,1.30655,0.462,-0.08614,0.1749,0.65931,6.77,5.18158509050553,2020-01-14
0.06072,1.3552,0.39643,-0.1109,0.18689,0.63848,6.88,5.0767414403778,2020-07-01
0.02399,1.2803,0.41409,-0.06576,0.19156,0.52853000000000006,6.77,5.28782316644536,2021-01-01
0.05793,1.2741,0.49781,-0.05955,0.11855,0.53706,6.77,5.31355466603877,2021-07-01
