dollar_ex,date,jpy_raw,usd_raw,dollar_price,eur_raw,cny_raw,local_price,gbp_raw
514,2000-04-01,-0.11618,-0.02336,2.45136186770428,0.02964,1.05023,1260,-0.18342
601,2001-04-01,-0.11576,-0.1746,2.09650582362729,-0.073,0.75344,1260,-0.26327
655,2002-04-01,0.06054,-0.1416,2.13740458015267,-0.10053,0.6855,1400,-0.25926
716,2003-04-01,-0.10444,-0.27848,1.95530726256983,-0.34408,0.63535,1400,-0.37812
641,2004-05-01,-0.05801,-0.24687,2.18408736349454,-0.33574,0.73887,1400,-0.35098
592.45,2005-06-01,0.08075,-0.1726,2.53185922862689,-0.29339,0.99568,1500,-0.26408
522.75,2006-01-01,0.36444,-0.05263,2.98421807747489,-0.15072,1.29191,1560,-0.10009
529.95,2006-05-01,0.32,-0.05043,2.94367393150297,-0.21855,1.25009,1560,-0.19307
540.15,2007-01-01,0.34253,-0.03983,3.09173377765436,-0.18835,1.1851,1670,-0.19354
526.75,2007-06-01,0.29787,-0.12872,2.97104888467015,-0.28699,1.05399,1565,-0.25857
494.65,2008-06-01,0.19583,-0.12226,3.13352875770747,-0.41349,0.71316,1550,-0.3144
548.55,2009-07-01,-0.07718,-0.10638,3.19022878497858,-0.30904,0.74383,1750,-0.13503
503.1,2010-01-01,-0.09024,-0.11165,3.18028225004969,-0.34345,0.73699,1600,-0.13375
523.65,2010-07-01,-0.08953,-0.10484,3.34192685954359,-0.22864,0.71575,1750,-0.04065
462.75,2011-07-01,-0.02097,-0.01652,3.99783900594273,-0.18882,0.75878,1850,0.02729
506.05,2012-01-01,-0.02624,-0.03484,4.05098310443632,-0.0857,0.6613,2050,0.05953
493.05,2012-07-01,0.01632,-0.03922,4.15779332724876,-0.04296,0.69726,2050,-0.0011
471.75,2013-01-01,0.23664,-0.00501,4.34552199258082,-0.10916,0.68943,2050,0.02291
508.155,2013-07-01,0.23123,-0.13625,3.93580698802531,-0.1553,0.50891,2000,-0.02096
541.95,2014-01-01,0.24098,-0.20194,3.69037734108313,-0.25625,0.34528,2000,-0.20239
564.14,2014-07-01,0.02147,-0.22367,3.72248023540256,-0.24852,0.36527,2100,-0.24419
627.485,2015-01-01,0.0652,-0.30132,3.34669354645928,-0.2151,0.2086,2100,-0.23386
642.45,2015-07-01,0.09489,-0.31759,3.26873686668223,-0.19368,0.1939,2100,-0.27562
715.215,2016-01-01,-0.05848,-0.40443,2.93618002978125,-0.26577,0.09409,2100,-0.30453
651.12,2016-07-01,0.0189,-0.29913,3.53237498464185,-0.16008,0.26824,2300,-0.10351
672.805,2017-01-01,0.11798,-0.28034,3.64147115434636,-0.10348,0.28689,2450,-0.02331
663.355,2017-07-01,0.14372,-0.2747,3.84409554461789,-0.13907,0.31777,2550,-0.06502
605.935,2018-01-01,0.25029,-0.18733,4.29088928680469,-0.11268,0.35289,2600,-0.02768
651.73,2018-07-01,0.1555,-0.26484,4.05075721541129,-0.14452,0.30849,2640,-0.04272
678.99,2019-01-01,0.0811,-0.3032,3.88812795475633,-0.16239,0.27428,2640,-0.04539
689.75,2019-07-09,0.06742,-0.33319,3.82747372236318,-0.16289,0.25479,2640,-0.06677
772.74,2020-01-14,-0.03605,-0.39746,3.41641431788182,-0.25439,0.09405,2640,-0.22534
787.7,2020-07-01,-0.04319,-0.39081,3.47848165545258,-0.27322,0.12265,2740,-0.18676
719.425,2021-01-01,0.09285,-0.27799,4.0865969350523,-0.20863,0.1813,2940,-0.07912
759.285,2021-07-01,0.11004,-0.30302,3.93791527555529,-0.21596,0.13913,2990,-0.17104
