Jpy_raw,Dollar_ex,Dollar_price,Usd_raw,Local_price,Date,Cny_raw,Eur_raw,Gbp_raw
-0.56891,8.28,1.19565217391304,-0.52364,9.9,2000-04-01,0,-0.49779,-0.60171
-0.49571,8.28,1.19565217391304,-0.52927,9.9,2001-04-01,0,-0.47132,-0.57984
-0.37078,8.28,1.26811594202899,-0.49072,10.5,2002-04-01,0,-0.46635,-0.56052
-0.45237,8.28,1.19565217391304,-0.5588,9.9,2003-04-01,0,-0.59891,-0.61973
-0.45827,8.28,1.256038647343,-0.56688,10.4,2004-05-01,0,-0.61799,-0.62676
-0.45846,8.2764,1.26866753661012,-0.5854,10.5,2005-06-01,0,-0.64593,-0.63124
-0.40467,8.0641,1.30206718666683,-0.58665,10.5,2006-01-01,0,-0.62944,-0.60735
-0.41336,8.026,1.30824819337154,-0.57798,10.5,2006-05-01,0,-0.6527,-0.64138
-0.3856,7.7743,1.41491838493498,-0.56058,11,2007-01-01,0,-0.62855,-0.63093
-0.36812,7.6047,1.44647389114626,-0.57581,11,2007-06-01,0,-0.65286,-0.63903
-0.30197,6.834,1.82908984489318,-0.48765,12.5,2008-06-01,0,-0.65765,-0.59981
-0.47081,6.8327,1.82943785033735,-0.48755,12.5,2009-07-01,0,-0.60377,-0.50399
-0.47624,6.8272,1.83091164752754,-0.48857,12.5,2010-01-01,0,-0.62202,-0.50129
-0.46935,6.7769,1.9477932387965,-0.47827,13.2,2010-07-01,0,-0.55043,-0.44086
-0.44334,6.445,2.27307990690458,-0.44082,14.65,2011-07-01,0,-0.53878,-0.41591
-0.41386,6.3155,2.43844509540021,-0.41903,15.4,2012-01-01,0,-0.44965,-0.36223
-0.4012,6.3885,2.44971433043751,-0.43392,15.65,2012-07-01,0,-0.43613,-0.41146
-0.26801,6.2204,2.57218185325703,-0.41105,16,2013-01-01,0,-0.4727,-0.39452
-0.18403,6.1341,2.60836960597317,-0.42757,16,2013-07-01,0,-0.44019,-0.35116000000000003
-0.07753,6.0513,2.74321220233669,-0.40677,16.6,2014-01-01,0,-0.44714,-0.4071
-0.25182,6.1983,2.72655405514415,-0.43138,16.9,2014-07-01,0,-0.44957,-0.4464
-0.11865,6.2115,2.76905739354423,-0.42191,17.2,2015-01-01,0,-0.35057,-0.36609
-0.08292,6.2092,2.73787283385943,-0.42842,17,2015-07-01,0,-0.32463,-0.39326
-0.13945,6.5582,2.68366320026837,-0.45565,17.6,2016-01-01,0,-0.32892,-0.36434
-0.1966,6.678,2.78526504941599,-0.44737,18.6,2016-07-01,0,-0.33773,-0.29312
-0.13125,6.9266,2.82967112291745,-0.44078,19.6,2017-01-01,0,-0.30334,-0.24105
-0.13208,6.7875,2.9171270718232,-0.4496,19.8,2017-07-01,0,-0.34667,-0.29048
-0.07584,6.432,3.17164179104478,-0.39931,20.4,2018-01-01,0,-0.34413,-0.2813
-0.11692,6.622,3.09574146783449,-0.43816,20.5,2018-07-01,0,-0.34621,-0.26841
-0.1516,6.8497,3.05122852095712,-0.45318,20.9,2019-01-01,0,-0.34268,-0.25086
-0.14932,6.8846,3.05028614589083,-0.46859,21,2019-07-09,0,-0.33287,-0.25627
-0.11891,6.885,3.12273057371097,-0.44925,21.5,2020-01-14,0,-0.31849,-0.29193
-0.14773,7.0035,3.09845077461269,-0.45736,21.7,2020-07-01,0,-0.35262,-0.27561
-0.07487,6.4751,3.45940603233927,-0.3888,22.4,2021-01-01,0,-0.33009,-0.22045
-0.02554,6.4797,3.45695016744602,-0.38815,22.4,2021-07-01,0,-0.31172,-0.27228
