jpy_raw,date,cny_raw,dollar_price,local_price,eur_raw,gbp_raw,dollar_ex,usd_raw
-0.49865,2000-04-01,0.16299,1.39053708439898,54.37,-0.41594,-0.5368,39.1,-0.446
-0.39438,2001-04-01,0.20093,1.43589743589744,56,-0.3651,-0.49542,39,-0.43469
-0.17867,2002-04-01,0.30532,1.65529411764706,56.28,-0.30342,-0.42634,34,-0.33522
-0.10346,2003-04-01,0.63713,1.95743944636678,56.57,-0.34336,-0.37744,28.9,-0.2777
-0.08174,2004-05-01,0.69506,2.12905660377359,56.42,-0.35248,-0.36733,26.5,-0.26584
-0.01864,2005-06-01,0.81215,2.29901918837532,56.42,-0.35838,-0.33176,24.5409,-0.24869
0.1892,2006-01-01,0.99755,2.60094389092816,62,-0.2598,-0.21567,23.8375,-0.1743
0.19773,2006-05-01,1.04166,2.67100299441826,59.05,-0.29093,-0.26781,22.1078,-0.13839
0.0522,2007-01-01,0.71256,2.42312620487741,52.1,-0.36388,-0.36795,21.50115,-0.24748
0.09433,2007-06-01,0.73188,2.50512034285579,52.9,-0.3988,-0.37484,21.11675,-0.26536
0.7394,2008-06-01,1.49189,4.55788577005715,66.08,-0.1469,-0.00276,14.49795,0.27672
0.0528,2009-07-01,0.98945,3.63956906044782,67.92,-0.21172,-0.01321,18.66155,0.01949
0.06256,2010-01-01,1.02873,3.7144324150675,67.64,-0.23318,0.01174,18.21005,0.03755
-0.06684,2010-07-01,0.75852,3.42522635662055,67.64,-0.20942,-0.01674,19.7476,-0.08253
-0.00271,2011-07-01,0.79158,4.07240084831893,69.32,-0.17369,0.04645,17.0219,0.00182
-0.17118,2012-01-01,0.41402,3.44801341494254,70.22,-0.22179,-0.09818,20.36535,-0.1785
-0.18323,2012-07-01,0.364,3.34141011022425,70.33,-0.23088,-0.19723,21.048,-0.22787
0.05924,2013-01-01,0.44708,3.72215856617774,70.33,-0.23695,-0.12382,18.89495,-0.14774
0.09196,2013-07-01,0.33823,3.49059595298967,70.45,-0.25085,-0.13171,20.1828,-0.23396
0.16795,2014-01-01,0.26611,3.47321507804258,70.45,-0.30002,-0.24933,20.2838,-0.2489
-0.05179,2014-07-01,0.26736,3.45551484473482,70.45,-0.30242,-0.29839,20.3877,-0.27935
-0.07086,2015-01-01,0.05422,2.91920897516911,70.45,-0.31536,-0.33172,24.13325,-0.39056
-0.05081,2015-07-01,0.03502,2.83374996204799,70,-0.30098,-0.37201,24.70225,-0.4084
-0.04353,2016-01-01,0.11146,2.98279523707257,75,-0.25411,-0.29349,25.1442,-0.39497
-0.11868,2016-07-01,0.09699,3.05541919332859,75,-0.27349,-0.22456,24.54655,-0.39377
-0.10793,2017-01-01,0.02685,2.90565343302953,75,-0.28464,-0.22067,25.81175,-0.42576
-0.0237,2017-07-01,0.12487,3.28139971386194,75,-0.26509,-0.20188,22.8561,-0.38087
0.10952,2018-01-01,0.20057,3.80777943799104,79,-0.21258,-0.13715,20.747,-0.27883
-0.03039,2018-07-01,0.09799,3.39908677868546,75,-0.28215,-0.19672,22.06475,-0.38311
0.05928,2019-01-01,0.24857,3.80966893976913,85,-0.17929,-0.06465,22.31165,-0.31726
0.03973,2019-07-09,0.22224,3.72818463724764,85,-0.18461,-0.09098,22.7993,-0.35049
0.05975,2020-01-14,0.20277,3.75591833307926,85,-0.1803,-0.14836,22.63095,-0.33758
0.04559,2020-07-01,0.22682,3.80124202379834,89,-0.20578,-0.11131,23.4134,-0.33428
0.10235,2021-01-01,0.19156,4.12210699878189,89,-0.20176,-0.07112,21.5909,-0.27171
0.15078,2021-07-01,0.18094,4.08244708299982,89,-0.18718,-0.14061,21.80065,-0.27744
