GBP_RAW,DATE,CNY_RAW,DOLLAR_EX,LOCAL_PRICE,USD_RAW,JPY_RAW,DOLLAR_PRICE,EUR_RAW
-0.57021,2003-04-01,0.13022,5.92,8,-0.50135,-0.38106,1.35135135135135,-0.54668
-0.51994,2004-05-01,0.28619,6.19,10,-0.44293,-0.30323,1.61550888529887,-0.50867
-0.54897,2005-06-01,0.22311,5.8,9,-0.4929,-0.33763,1.55172413793103,-0.56694
-0.51404,2006-01-01,0.23765,5.74,9.25,-0.48841,-0.26319,1.61149825783972,-0.54138
-0.54873,2006-05-01,0.25835,5.77075,9.5,-0.46896,-0.2618,1.64623315860157,-0.56298
-0.58402,2007-01-01,0.12709,5.7,9.09,-0.50474,-0.30751,1.59473684210526,-0.58135
-0.58161,2007-06-01,0.15906,5.69025,9.54,-0.50834,-0.26762,1.67655199683669,-0.59765
-0.4646,2008-06-01,0.33786,5.3125,13,-0.31455,-0.06614,2.44705882352941,-0.54198
-0.36887,2009-07-01,0.2724,5.58475,13,-0.34796,-0.32666,2.32776758135995,-0.49584
-0.35207,2010-01-01,0.29923,5.465,13,-0.33554,-0.31952,2.37877401646844,-0.50892
-0.34518,2010-07-01,0.17112,5.699,13,-0.38899,-0.37854,2.28110194771012,-0.47349
-0.39272,2011-07-01,0.03969,5.962,14.09,-0.41862,-0.42125,2.36330090573633,-0.52047
-0.32848,2012-01-01,0.05293,6.037,15.5,-0.38829,-0.38284,2.56750041411297,-0.42052
-0.36636,2012-07-01,0.07663,6.0665,16,-0.39054,-0.35531,2.63743509437072,-0.39292
-0.43667,2013-01-01,-0.0696,6.68575,16,-0.45204,-0.31896,2.39314960924354,-0.5094
-0.40555,2013-07-01,-0.08382,7.00915,16.75,-0.47555,-0.25242,2.38973341988686,-0.48711
-0.47434,2014-01-01,-0.1134,6.961,16.93,-0.47404,-0.18214,2.43212182157736,-0.50984
-0.51924,2014-07-01,-0.13157,7.15005,16.93,-0.50619,-0.35026,2.36781560968105,-0.522
-0.4727,2015-01-01,-0.16817,7.35005,16.93,-0.51913,-0.26687,2.3033856912538,-0.45979
-0.52084,2015-07-01,-0.21027,7.83005,16.93,-0.5486,-0.27576,2.16218287239545,-0.46664
-0.48786,2016-01-01,-0.19432,7.83005,16.93,-0.56142,-0.30667,2.16218287239545,-0.45932
-0.34265,2016-07-01,-0.07007,8.87995,23,-0.48609,-0.25289,2.5901046740128,-0.38413
-0.60718,2017-01-01,-0.48242,18.77,27.49,-0.71056,-0.55036,1.46457112413426,-0.63943
-0.57339,2017-07-01,-0.39873,17.885,31.37,-0.66906,-0.47814,1.75398378529494,-0.60717
-0.56203,2018-01-01,-0.39061,17.7,34.21,-0.63395,-0.43683,1.93276836158192,-0.60032
-0.58596,2018-07-01,-0.43405,17.905,31.37,-0.68203,-0.50022,1.7520245741413,-0.62999
-0.45166,2019-01-01,-0.26804,17.91,40,-0.59975,-0.379,2.23338916806253,-0.51886
-0.38365,2019-07-09,-0.17128,16.615,42,-0.55961,-0.29503,2.52783629250677,-0.44714
-0.40029,2020-01-14,-0.15304,15.88,42,-0.53354,-0.25375,2.6448362720403,-0.42278
-0.38438,2020-07-01,-0.15015,15.95,42,-0.53884,-0.27569,2.63322884012539,-0.44982
-0.38766,2021-01-01,-0.21449,15.64,42.5,-0.5199,-0.27331,2.71739130434783,-0.47378
-0.42906,2021-07-01,-0.21544,15.67,42.5,-0.51997,-0.23548,2.71218889597958,-0.46
