dollar_price,eur_raw,dollar_ex,usd_raw,cny_raw,local_price,date,gbp_raw,jpy_raw
1.30937098844673,-0.45003,7.79,-0.47834,0.09511,10.2,2000-04-01,-0.56383,-0.52791
1.37179487179487,-0.39344,7.8,-0.45992,0.14732,10.7,2001-04-01,-0.51794,-0.42142
1.4,-0.41085,8,-0.43775,0.104,11.2,2002-04-01,-0.51482000000000006,-0.30534
1.47435897435897,-0.50541,7.8,-0.45596,0.2331,11.5,2003-04-01,-0.53109,-0.32472
1.54043645699615,-0.5315,7.79,-0.46882,0.22642,12,2004-05-01,-0.54225,-0.33561
1.54227768709756,-0.56957,7.7807,-0.49599,0.21567,12,2005-06-01,-0.55172,-0.34166
1.54814738363092,-0.55941,7.7512,-0.50852,0.18899,12,2006-01-01,-0.53315,-0.29216
1.54772806417912,-0.58913,7.7533,-0.50073,0.18305,12,2006-05-01,-0.57573,-0.30597
1.53876731914675,-0.59604,7.79845,-0.52212,0.08753,12,2007-01-01,-0.59862,-0.33182
1.53540057961372,-0.63152,7.81555,-0.54974,0.06148,12,2007-06-01,-0.61684,-0.32928
1.70569677071844,-0.68074,7.7974,-0.52221,-0.06746,13.3,2008-06-01,-0.6268,-0.34906
1.71601832139862,-0.62834,7.7505,-0.51932,-0.062,13.3,2009-07-01,-0.53474,-0.50361
1.90806479684911,-0.60609,7.75655,-0.46702,0.04214,14.8,2010-01-01,-0.48028,-0.45417
1.90373285997273,-0.56059,7.7742000000000004,-0.49007,-0.02262,14.8,2010-07-01,-0.45351,-0.48135
1.93793475191868,-0.60678,7.7918,-0.52326,-0.14744,15.1,2011-07-01,-0.50203,-0.52542
2.12427661943906,-0.52056,7.76735,-0.49388,-0.12884,16.5,2012-01-01,-0.4444,-0.48938
2.126795692272,-0.51046,7.75815,-0.50854,-0.13182,16.5,2012-07-01,-0.48904,-0.48013
2.19097575749765,-0.55085,7.7591,-0.49833,-0.1482,17,2013-01-01,-0.48426,-0.3765
2.19166779473097,-0.52962,7.75665,-0.51902,-0.15976,17,2013-07-01,-0.45482,-0.31438
2.32023047622731,-0.53239,7.75785,-0.49824,-0.15419,18,2014-01-01,-0.49852,-0.21977
2.42566560651317,-0.51032,7.75045,-0.49413,-0.11035,18.8,2014-07-01,-0.50749,-0.33438
2.42538396537377,-0.43117,7.75135,-0.49366,-0.12411,18.8,2015-01-01,-0.44477,-0.22804
2.47716364762347,-0.38894,7.7508,-0.48285,-0.09522,19.2,2015-07-01,-0.45104,-0.17025
2.4766683650764,-0.38068,7.75235,-0.49763,-0.07713,19.2,2016-01-01,-0.41337,-0.20583
2.4756943549011,-0.41134,7.7554,-0.50879,-0.11115,19.2,2016-07-01,-0.37169,-0.2859
2.47551879524752,-0.39053,7.75595,-0.51077,-0.12516,19.2,2017-01-01,-0.33604,-0.23998
2.45791461307047,-0.44952,7.8115,-0.53624,-0.15742,19.2,2017-07-01,-0.40218,-0.26871
2.62181864688579,-0.45783,7.819,-0.50344,-0.17336,20.5,2018-01-01,-0.40589,-0.23605
2.54833880164368,-0.46182,7.84825,-0.53751,-0.17682,20,2018-07-01,-0.39777,-0.27307
2.55286016070255,-0.45004,7.83435,-0.5425,-0.16333,20,2019-01-01,-0.37322,-0.29017
2.6246719160105,-0.42596,7.8105,-0.54274,-0.13953,20.5,2019-07-09,-0.36004,-0.26802
2.63653726198821,-0.4246,7.77535,-0.535,-0.15569,20.5,2020-01-14,-0.40218,-0.25609
2.64483708448642,-0.4474,7.75095,-0.53681,-0.1464,20.5,2020-07-01,-0.38166,-0.2725
2.64333653542393,-0.48812,7.75535,-0.53298,-0.2359,20.5,2021-01-01,-0.40435,-0.29311
2.70169434831273,-0.46209,7.7729,-0.52182,-0.21847,21,2021-07-01,-0.43127,-0.23843
