DOLLAR_EX,CNY_RAW,USD_RAW,DATE,EUR_RAW,JPY_RAW,LOCAL_PRICE,DOLLAR_PRICE,GBP_RAW
44.4,-0.1677,-0.53459,2011-07-01,-0.61612,-0.53669,84,1.89189189189189,-0.51386
51.905,-0.33632,-0.61443,2012-01-01,-0.63474,-0.61099,84,1.61834120026972,-0.57673
56.165,-0.35314,-0.63383,2012-07-01,-0.63525,-0.61266,89,1.58461675420636,-0.6193
53.395,-0.35198,-0.61835,2013-01-01,-0.6583,-0.52566,89,1.66682273621126,-0.60764
59.98,-0.42474,-0.6707,2013-07-01,-0.67796,-0.5306,90,1.50050016672224,-0.62675
61.845,-0.44004,-0.66781,2014-01-01,-0.69042,-0.48345,95,1.53609831029186,-0.668
60.08875,-0.35911,-0.63558,2014-07-01,-0.64724,-0.5205,105,1.74741528156269,-0.6452
61.615,-0.31864,-0.60611,2015-01-01,-0.55751,-0.39949,116.25,1.88671589710298,-0.56808
63.43,-0.3306,-0.61738,2015-07-01,-0.54791,-0.38611,116.25,1.83272899259026,-0.59385
66.8025,-0.29159,-0.61438,2016-01-01,-0.5246,-0.39038,127,1.90112645484825,-0.54969
67.2,-0.13448,-0.52168,2016-07-01,-0.42679,-0.30464,162,2.41071428571429,-0.38818
68.3275,-0.12074,-0.5083,2017-01-01,-0.38746,-0.23615,170,2.48801726976693,-0.33268
64.5575,-0.05481,-0.47977,2017-07-01,-0.38248,-0.17965,178,2.75723192502808,-0.32937
63.86125,-0.11131,-0.46617,2018-01-01,-0.41714,-0.17871,180,2.81861065982893,-0.3613
68.825,-0.18804,-0.54381,2018-07-01,-0.46915,-0.28297,173,2.51362150381402,-0.40598
69.685,-0.16284,-0.54223,2019-01-01,-0.44972,-0.28976,178,2.55435172562244,-0.37286
68.5544,-0.12486,-0.53495,2019-07-09,-0.41617,-0.25554,183,2.66941290420454,-0.34913
70.87815,-0.1506,-0.5322,2020-01-14,-0.42112,-0.2516,188,2.65243943302696,-0.39857
75.1975,-0.18453,-0.5575,2020-07-01,-0.47208,-0.305,190,2.52667974334253,-0.40929
73.39,-0.25163,-0.5426,2021-01-01,-0.49866,-0.30767,190,2.58890857064995,-0.41661
74.615,-0.2634,-0.54931,2021-07-01,-0.49301,-0.28221,190,2.54640487837566,-0.46396
