cny_raw,jpy_raw,dollar_price,gbp_raw,dollar_ex,usd_raw,date,local_price,eur_raw
1.99439,0.29084,3.58024691358025,0.19262,4.05,0.42639,2000-04-01,14.5,0.5038
0.97554,0.24305,2.50521920668058,-0.13179,4.79,0.00611,2002-04-01,12,0.05425
1.06309,0.09177,3.77429703717683,0.02332,3.97425,0.05723,2009-07-01,15,-0.18254
1.18031,0.14195,3.9919624916276,0.08733,3.7325,0.11507,2010-01-01,14.9,-0.17589
0.98081,0.05112,3.85820451073306,0.10755,3.8619,0.03345,2010-07-01,14.9,-0.10948
1.0553,0.1441,4.67186742474327,0.20049,3.40335,0.14929,2011-07-01,15.9,-0.05205
0.69431,-0.0069,4.13147979732363,0.08058,3.8485,-0.01566,2012-01-01,15.9,-0.06753
0.19171,-0.2864,2.91934989267096,-0.29863,4.07625,-0.3254,2012-07-01,11.9,-0.32803
0.55529,0.13845,4.00048327985931,-0.05831,3.72455,-0.08401,2013-01-01,14.9,-0.1799
0.84017,0.50153,4.79984640491504,0.19397,3.64595,0.05337,2013-07-01,17.5,0.03014
0.82885,0.68706,5.01691416776561,0.08432,3.4882,0.08493,2014-01-01,17.5,0.0111
0.88012,0.40667,5.12625227019743,0.04083,3.4138,0.06908,2014-07-01,17.5,0.03487
0.60641,0.4158,4.44822896940889,0.01831,3.93415,-0.07135,2015-01-01,17.5,0.04325
0.6917,0.55142,4.63165138221711,0.02642,3.77835,-0.03306,2015-07-01,17.5,0.14252
0.59789,0.37506,4.28819730782406,0.01571,3.94105,-0.13018,2016-01-01,16.9,0.07232
0.57244,0.26329,4.37965662455458,0.11153,3.85875,-0.13102,2016-07-01,16.9,0.04138
0.54927,0.34592,4.38391699092088,0.17582,3.855,-0.13361,2017-01-01,16.9,0.07931
0.63631,0.42019,4.77333709927976,0.16099,3.5405,-0.09937,2017-07-01,16.9,0.06905
0.51392,0.3991,4.80160635558078,0.08805,3.43635,-0.0906,2018-01-01,16.5,-0.00707
0.51075,0.33411,4.67688244518419,0.10524,3.6349,-0.1512,2018-07-01,17,-0.01229
0.50263,0.27483,4.58486724112356,0.12568,3.70785,-0.17834,2019-01-01,17,-0.01229
0.56258,0.32925,4.76631059522808,0.16214,3.5667,-0.16963,2019-07-09,17,0.04244
0.57362,0.38651,4.91400491400492,0.11423,3.4595,-0.13333,2020-01-14,17,0.07244
0.59648,0.36063,4.94660575552129,0.15647,3.4367,-0.13369,2020-07-01,17,0.03353
0.54581,0.43007,5.3475935828877,0.20503,3.179,-0.0552,2021-01-01,17,0.03556
0.49379,0.45564,5.16395558998193,0.08705,3.29205,-0.08603,2021-07-01,17,0.02815
