Dollar_ex,Cny_raw,Date,Usd_raw,Dollar_price,Eur_raw,Gbp_raw,Jpy_raw,Local_price
106,1.31973,2000-04-01,0.10501,2.77358490566038,0.16498,-0.07609,0,294
124,0.98299,2001-04-01,-0.06655,2.37096774193548,0.04836,-0.16682,0,294
130,0.58927,2002-04-01,-0.19061,2.01538461538462,-0.15188,-0.30155,0,262
120,0.82606,2003-04-01,-0.19434,2.18333333333333,-0.26758,-0.3056,0,262
113,0.84595,2004-05-01,-0.20049,2.31858407079646,-0.29483,-0.31101,0,262
106.715,0.84657,2005-06-01,-0.23442,2.34268846928735,-0.34619,-0.31907,0,250
114.305,0.67974,2006-01-01,-0.30567,2.18713092165697,-0.37756,-0.34046,0,250
112.105,0.70461,2006-05-01,-0.28063,2.23005218322109,-0.40799,-0.38869,0,250
121.585,0.6276,2007-01-01,-0.28481,2.30291565571411,-0.39543,-0.3993,0,280
122.315,0.58259,2007-06-01,-0.32869,2.2891714017087,-0.45063,-0.42873,0,280
106.855,0.43261,2008-06-01,-0.266,2.62037340320996,-0.50954,-0.42668,0,280
92.565,0.88967,2009-07-01,-0.03164,3.45703019499811,-0.25126,-0.0627,0,320
91.54,0.90929,2010-01-01,-0.02354,3.49573956740223,-0.27833,-0.04783,0,320
87.18,0.88447,2010-07-01,-0.01681,3.67056664372563,-0.15279,0.05369,0,320
78.365,0.79644,2011-07-01,0.00454,4.08345562432208,-0.17144,0.04929,0,320
76.92,0.70607,2012-01-01,-0.00883,4.16016640665627,-0.06106,0.08808,0,320
78.22,0.67,2012-07-01,-0.05464,4.09102531321913,-0.05833,-0.01714,0,320
91.065,0.36615,2013-01-01,-0.19541,3.51397353538681,-0.27963,-0.17283,0,320
100.105,0.22553,2013-07-01,-0.29847,3.19664352429949,-0.31394,-0.20483,0,320
104.245,0.08404,2014-01-01,-0.35691,2.97376372967528,-0.40067,-0.35727,0,310
101.53,0.33657,2014-07-01,-0.23999,3.6442430808628,-0.26432,-0.26007,0,370
117.765,0.13463,2015-01-01,-0.34408,3.14185029507918,-0.26314,-0.28075,0,370
123.935,0.09042,2015-07-01,-0.37674,2.98543591398717,-0.26357,-0.3384,0,370
118.645,0.16205,2016-01-01,-0.36743,3.11854692570273,-0.22017,-0.26133,0,370
106.725,0.24471,2016-07-01,-0.31213,3.46685406418365,-0.17566,-0.12014,0,370
116.665,0.15108,2017-01-01,-0.35629,3.25718938841983,-0.19809,-0.12638,0,380
113.06,0.15218,2017-07-01,-0.36584,3.36104723155846,-0.24725,-0.18251,0,380
110.725,0.08207,2018-01-01,-0.35001,3.43192594265071,-0.29031,-0.22232,0,380
111.25,0.1324,2018-07-01,-0.36377,3.50561797752809,-0.25965,-0.17155,0,390
108.44,0.17869,2019-01-01,-0.35547,3.59645887126522,-0.22522,-0.117,0,390
108.765,0.17553,2019-07-09,-0.37531,3.58571231554268,-0.21577,-0.12572,0,390
110.04,0.13496,2020-01-14,-0.37493,3.54416575790622,-0.22651,-0.19637,0,390
107.275,0.17333,2020-07-01,-0.36331,3.63551619669075,-0.24041,-0.15005,0,390
104.295,0.08094,2021-01-01,-0.33933,3.73939306774054,-0.27587,-0.15736,0,390
109.935,0.02621,2021-07-01,-0.37211,3.54755082548779,-0.29368,-0.25321,0,390
