JPY_RAW,CNY_RAW,EUR_RAW,DOLLAR_PRICE,GBP_RAW,LOCAL_PRICE,DATE,USD_RAW,DOLLAR_EX
-0.57114,-0.00517,-0.50039,1.18947368421053,-0.60377,4.52,2000-04-01,-0.52611,3.8
-0.49832,-0.00517,-0.47406,1.18947368421053,-0.58201,4.52,2001-04-01,-0.5317,3.8
-0.3419,0.04589,-0.44186,1.32631578947368,-0.54035,5.04,2002-04-01,-0.46734,3.8
-0.39253,0.10928,-0.55508,1.32631578947368,-0.57817,5.04,2003-04-01,-0.51058,3.8
-0.42796,0.05595,-0.59662,1.32631578947368,-0.60587,5.04,2004-05-01,-0.54265,3.8
-0.41026,0.089,-0.61442,1.38157894736842,-0.59842,5.25,2005-06-01,-0.5485,3.8
-0.3292,0.12677,-0.58247,1.46713615023474,-0.55758,5.5,2006-01-01,-0.53424,3.7488
-0.32048,0.15831,-0.59772,1.51536024245764,-0.5846,5.5,2006-05-01,-0.51117,3.6295
-0.31802,0.10998,-0.5877,1.57053112507139,-0.59034,5.5,2007-01-01,-0.51226,3.502
-0.30045,0.1071,-0.61569,1.60139758334547,-0.60037,5.5,2007-06-01,-0.53038,3.4345
-0.35178,-0.07135,-0.68207,1.69857936998147,-0.62836,5.5,2008-06-01,-0.52421,3.238
-0.45632,0.02737,-0.59293,1.87951138256524,-0.49041,6.77,2009-07-01,-0.47353,3.602
-0.40465,0.13669,-0.57035,2.08118081180812,-0.43313,7.05,2010-01-01,-0.41866,3.3875
-0.40231,0.12634,-0.49363,2.19386961257196,-0.37022,7.05,2010-07-01,-0.41236,3.2135
-0.40692,0.06543,-0.5086,2.42179616548941,-0.37769,7.2,2011-07-01,-0.40423,2.973
-0.43726,-0.03992,-0.47162,2.34109983914892,-0.38769,7.35,2012-01-01,-0.44223,3.13955
-0.43002,-0.04813,-0.46326,2.33181030408067,-0.43979,7.4,2012-07-01,-0.46116,3.1735
-0.26617,0.00252,-0.47137,2.57865715212455,-0.393,7.95,2013-01-01,-0.40957,3.083
-0.28199,-0.12005,-0.5074,2.29523659801918,-0.42906,7.3,2013-07-01,-0.49629,3.1805
-0.25126,-0.18834,-0.55126,2.2265683767113,-0.51877,7.4,2014-01-01,-0.51849,3.3235
-0.339,-0.11653,-0.51371,2.40883977900553,-0.51091,7.63,2014-07-01,-0.49764,3.1675
-0.32831,-0.23788,-0.50506,2.11035818005808,-0.51689,7.63,2015-01-01,-0.55942,3.6155
-0.32683,-0.26596,-0.50425,2.00972021542099,-0.55463,7.65,2015-07-01,-0.58043,3.8065
-0.41598,-0.32134,-0.54456,1.82128628343768,-0.56861,8,2016-01-01,-0.63057,4.3925
-0.42698,-0.28675,-0.52764,1.9865905140303,-0.49582,8,2016-07-01,-0.60584,4.027
-0.45072,-0.36773,-0.55953,1.78910880017891,-0.52014,8,2017-01-01,-0.64642,4.4715
-0.40405,-0.31336,-0.5514,2.00302783277047,-0.51281,8.6,2017-07-01,-0.62207,4.2935
-0.33676,-0.28234,-0.52931,2.27617602427921,-0.48422,9,2018-01-01,-0.56891,3.954
-0.40077,-0.32143,-0.55636,2.10068365444375,-0.50356,8.45,2018-07-01,-0.61875,4.0225
-0.38886,-0.27966,-0.5265,2.19793564055859,-0.46036,9.05,2019-01-01,-0.6061,4.1175
-0.40419,-0.29961,-0.53275,2.13639106819553,-0.4791,8.85,2019-07-09,-0.62781,4.1425
-0.34214,-0.25335,-0.49115,2.33157442630998,-0.47132,9.5,2020-01-14,-0.58879,4.0745
-0.35579,-0.24412,-0.51066,2.34204665338178,-0.45245,9.99,2020-07-01,-0.58983,4.2655
-0.34068,-0.28732,-0.52257,2.46544916090819,-0.44443,9.99,2021-01-01,-0.56441,4.052
-0.33341,-0.31594,-0.52917,2.36477689667416,-0.5022,9.99,2021-07-01,-0.58146,4.2245
