DATE,USD_RAW,LOCAL_PRICE,CNY_RAW,GBP_RAW,DOLLAR_EX,JPY_RAW,DOLLAR_PRICE,EUR_RAW
2004-05-01,-0.3433,110,0.51622,-0.43408,57.76,-0.17862,1.90443213296399,-0.42079
2005-06-01,-0.28743,130,0.71871,-0.36621,59.62,-0.06924,2.18047635021805,-0.39146
2006-05-01,-0.30172,130,0.65464,-0.40661,60.055,-0.02931,2.16468237449005,-0.42534
2007-01-01,-0.27603,140,0.64758,-0.39192,60.055,0.01228,2.33119640329698,-0.38801
2007-06-01,-0.31993,140,0.60323,-0.42128,60.37,0.01304,2.31903263210204,-0.44346
2008-06-01,-0.44689,140,0.07956,-0.56797,70.9,-0.24644,1.97461212976023,-0.63041
2009-07-01,-0.35567,190,0.25735,-0.37634,82.6,-0.33462,2.30024213075061,-0.5018
2010-01-01,-0.32366,200,0.32246,-0.34048,82.6,-0.30735,2.42130750605327,-0.50014
2010-07-01,-0.3423,210,0.26062,-0.29514,85.525,-0.33105,2.45542239111371,-0.43326
2011-07-01,-0.41557,205.13,0.04515,-0.38954,86.345,-0.41821,2.37570212519544,-0.51796
2012-01-01,-0.3121,260,0.18407,-0.24484,90.05,-0.30597,2.88728484175458,-0.34835
2012-07-01,-0.30386,285,0.22975,-0.27625,94.605,-0.26363,3.01252576502299,-0.30658
2013-01-01,-0.32011,290,0.1544,-0.30103,97.665,-0.15499,2.96933394767829,-0.39128
2013-07-01,-0.34185,300,0.14974,-0.25401,100.035,-0.06184,2.99895036737142,-0.35636
2014-01-01,-0.34353,320,0.10659,-0.3439,105.415,0.0208,3.03562111653939,-0.38821
2014-07-01,-0.36598,300,0.11501,-0.38273,98.68,-0.16577,3.04012971220105,-0.38627
2015-01-01,-0.37826,300,0.0755,-0.31823,100.735,-0.05212,2.97811088499528,-0.30154
2015-07-01,-0.28153,350,0.257,-0.23733,101.7,0.15276,3.44149459193707,-0.15107
2016-01-01,-0.41982,300,0.06581,-0.32251,104.885,-0.08282,2.86027553987701,-0.28475
2016-07-01,-0.29017,375,0.28446,-0.09204,104.82,0.03193,3.57756153405839,-0.14934
2017-01-01,-0.29267,375,0.26485,-0.04004,104.775,0.09883,3.57909806728704,-0.11883
2017-07-01,-0.32711,375,0.22255,-0.13258,105.15,0.06108,3.56633380884451,-0.20127
2018-01-01,-0.35729,375,0.06995,-0.23103,110.505,-0.01119,3.39351160580969,-0.29825
2018-07-01,-0.43981,375,-0.00293,-0.27055,121.49,-0.11951,3.08667380031278,-0.34813
2019-01-01,-0.40641,460,0.08553,-0.18679,138.88,-0.07904,3.31221198156682,-0.28645
2019-07-09,-0.46889,480,-5.6e-4,-0.25668,157.45,-0.1498,3.0485868529692,-0.33324
2020-01-14,-0.40784,520,0.0752,-0.23869,154.875,-0.05266,3.35754640839387,-0.26724
2020-07-01,-0.42149,550,0.06611,-0.22772,166.5,-0.09138,3.3033033033033,-0.30982
2021-01-01,-0.39399,550,-0.0085,-0.22708,160.35,-0.08274,3.42999688182102,-0.33578
2021-07-01,-0.36279,580,0.04145,-0.24212,161.1,0.01485,3.60024829298572,-0.28319
