Dollar_ex,Gbp_raw,Date,Local_price,Usd_raw,Dollar_price,Jpy_raw,Eur_raw,Cny_raw
3.43,-0.14118,2002-04-01,8.5,-0.00477,2.47813411078717,0.22961,0.04285,0.95419
3.46,-0.27383,2003-04-01,7.9,-0.15748,2.28323699421965,0.04576,-0.23407,0.90962
3.49,-0.23454,2004-05-01,8.99,-0.11175,2.57593123209169,0.11099,-0.21657,1.05084
3.2546,-0.19712,2005-06-01,8.99,-0.09731,2.76224420819763,0.17909,-0.2291,1.17728
3.446,-0.16866,2006-01-01,9.5,-0.12482,2.75681950087057,0.26047,-0.21544,1.11726
3.261,-0.20142,2006-05-01,9.5,-0.06025,2.91321680466115,0.30634,-0.22663,1.22681
3.1895,-0.22307,2007-01-01,9.5,-0.07499,2.9785232795109,0.29337,-0.21807000000000001,1.10508
3.167,-0.25142,2007-06-01,9.5,-0.12033,2.99968424376381,0.31038,-0.28011,1.07379
2.84,-0.26812,2008-06-01,9.5,-0.06301,3.34507042253521,0.27656,-0.3739,0.82882
3.0274,-0.27852,2009-07-01,8.056,-0.25461,2.66102926603686,-0.23026,-0.42366,0.45456
2.8705,-0.23557,2010-01-01,8.056,-0.21607,2.80647970736805,-0.19717,-0.42062,0.53283
2.8275,0.01526,2010-07-01,10,-0.05267,3.53669319186561,-0.03647,-0.18369,0.81574
2.7375,-0.06133,2011-07-01,10,-0.10136,3.65296803652968,-0.10542,-0.25879,0.60706
2.6925,-0.02861,2012-01-01,10,-0.11512,3.71402042711235,-0.10724,-0.16175,0.52311
2.5595,-0.08031,2013-01-01,10,-0.10541,3.90701308849385,0.11185,-0.19906,0.51895
2.783,-0.10617,2013-07-01,10,-0.21143,3.59324469996407,0.12407,-0.22882,0.37758
2.8065,-0.22989,2014-01-01,10,-0.22945,3.56315695706396,0.1982,-0.28189,0.2989
2.788,-0.27174,2014-07-01,10,-0.25197,3.58680057388809,-0.01576,-0.27591,0.31551
3.008,-0.23894,2015-01-01,10,-0.30596,3.32446808510638,0.05812,-0.22031,0.20058
3.1835,-0.30388,2015-07-01,10,-0.34422,3.14119679597927,0.05217,-0.22514,0.14731
3.418,-0.30701,2016-01-01,10,-0.40655,2.92568753657109,-0.06184,-0.2684,0.09018
3.30585,-0.23229,2016-07-01,10,-0.39981,3.02494063554003,-0.12747,-0.28074,0.08605
3.3929,-0.13044,2017-01-01,11,-0.35928,3.2420643107666,-0.00464,-0.20181,0.14574
3.2515,-0.21456,2017-07-01,10.5,-0.3907,3.22927879440258,-0.0392,-0.27676,0.10701
3.212,-0.25924,2018-01-01,10.5,-0.38087,3.26899128268991,-0.04748,-0.324,0.03069
3.2715,-0.24152,2018-07-01,10.5,-0.41751,3.20953690967446,-0.08446,-0.32218,0.03676
3.3485,-0.23012,2019-01-01,10.5,-0.43804,3.13573241750037,-0.12811,-0.32447,0.0277
3.2868,-0.22108,2019-07-09,10.5,-0.44345,3.19459656809054,-0.10908,-0.30131,0.04731
3.3276,-0.18912,2020-01-14,11.9,-0.36929,3.57615097968506,0.00902,-0.21953,0.1452
3.4973,-0.2045,2020-07-01,11.9,-0.40409,3.40262488205187,-0.06406,-0.28907,0.09817
3.6207,-0.25938,2021-01-01,11.9,-0.41932,3.28665727621731,-0.12107,-0.36354,-0.04994
3.9511,-0.31271,2021-07-01,12.9,-0.42214,3.26491356837337,-0.07967,-0.34995,-0.05555
