local_price,eur_raw,cny_raw,date,gbp_raw,dollar_price,usd_raw,jpy_raw,dollar_ex
59,-0.48136,-0.01898,2001-04-01,-0.58781,1.17296222664016,-0.5382,-0.50528,50.3
65,-0.46366,0.00504,2002-04-01,-0.55831,1.27450980392157,-0.48815,-0.36761,51
65,-0.58467,0.0355,2003-04-01,-0.60623,1.23809523809524,-0.54314,-0.43293,52.5
69,-0.62459,-0.01727,2004-05-01,-0.6332,1.23434704830054,-0.57436,-0.46763,55.9
80,-0.59071,0.15597,2005-06-01,-0.57373,1.46654445462878,-0.52074,-0.37399,54.55
82,-0.55617,0.19773,2006-01-01,-0.52971,1.55952833777102,-0.50491,-0.28695,52.58
85,-0.57121,0.23463,2006-05-01,-0.55723,1.61520190023753,-0.47897,-0.27571,52.625
85,-0.54507,0.22475,2007-01-01,-0.54798,1.7329255861366,-0.46182,-0.24751,49.05
85,-0.55556,0.28032,2007-06-01,-0.53784,1.85195272073642,-0.45691,-0.19099,45.8975
87,-0.63395,0.06923,2008-06-01,-0.5721,1.95571540968866,-0.45218,-0.25365,44.485
99.39,-0.5551,0.12283,2009-07-01,-0.44306,2.0541490131239,-0.42461,-0.40581,48.385
101.52,-0.54359,0.20749,2010-01-01,-0.39782,2.21080139372822,-0.38246,-0.36757,45.92
102,-0.49338,0.1269,2010-07-01,-0.36991,2.19496449322143,-0.41206,-0.40201,46.47
118,-0.43544,0.22405,2011-07-01,-0.28504,2.78236265031832,-0.31553,-0.31863,42.41
118,-0.39479,0.09968,2012-01-01,-0.29866,2.68151346437905,-0.36112,-0.35543,44.005
118,-0.35637,0.14144,2012-07-01,-0.32822,2.79620853080569,-0.35385,-0.3165,42.2
118,-0.40419,0.12994,2013-01-01,-0.31585,2.9064039408867,-0.33452,-0.1729,40.6
115.21,-0.43079,0.01679,2013-07-01,-0.34027,2.65216390423573,-0.41796,-0.17033,43.44
135,-0.39846,0.08805,2014-01-01,-0.3549,2.98474463851426,-0.35453,0.00369,45.23
160,-0.2524,0.35823,2014-07-01,-0.24809,3.70327508390233,-0.22768,0.0162,43.205
163,-0.13919,0.32549,2015-01-01,-0.15976,3.67034451700068,-0.23375,0.16821,44.41
163,-0.11069,0.31679,2015-07-01,-0.20105,3.6051976776334,-0.24735,0.2076,45.2125
131,-0.30335,0.0381,2016-01-01,-0.34012,2.78590036684566,-0.43491,-0.10667,47.0225
133,-0.32879,0.01351,2016-07-01,-0.28357,2.82288018677704,-0.4399,-0.18575,47.115
133,-0.34003,-0.05267,2017-01-01,-0.28102,2.68064093520105,-0.47023,-0.17701,49.615
134,-0.40662,-0.09176,2017-07-01,-0.35559,2.64945182050953,-0.5001,-0.21172,50.5765
134,-0.45372,-0.16709,2018-01-01,-0.40139,2.64169541646131,-0.49968,-0.23026,50.725
140,-0.44722,-0.1545,2018-07-01,-0.38144,2.61745844784714,-0.52496,-0.25335,53.487
140,-0.42434,-0.12424,2019-01-01,-0.34394,2.67213818771771,-0.52112,-0.25701,52.3925
142,-0.39481,-0.09284,2019-07-09,-0.32532,2.76708725093779,-0.51793,-0.2283,51.3175
142,-0.3873,-0.10097,2020-01-14,-0.36343,2.80743376828786,-0.50486,-0.20787,50.58
142,-0.39973,-0.07277,2020-07-01,-0.32832,2.87298183142476,-0.49685,-0.20975,49.426
142,-0.42822,-0.14649,2021-01-01,-0.33465,2.95264334355669,-0.47833,-0.2104,48.0925
142,-0.43849,-0.18418,2021-07-01,-0.40631,2.82025819265144,-0.50084,-0.20501,50.35
