Usd_raw,Eur_raw,Local_price,Dollar_price,Gbp_raw,Jpy_raw,Date,Dollar_ex,Cny_raw
-0.49041,-0.46276,5.5,1.27906976744186,-0.57393,-0.53884,2000-04-01,4.3,0.06977
-0.42361,-0.35266,5.9,1.46401985111663,-0.48553,-0.38252,2001-04-01,4.03,0.22445
-0.4135,-0.38543,5.9,1.46039603960396,-0.49388,-0.27538,2002-04-01,4.04,0.15163
-0.40238,-0.45671,6.3,1.61953727506427,-0.48491,-0.25823,2003-04-01,3.89,0.35452
-0.43865,-0.50489,6.3,1.62790697674419,-0.51625,-0.29789,2004-05-01,3.87,0.29606
-0.35818,-0.45188,6.5,1.96398356296833,-0.42914,-0.16165,2005-06-01,3.3096,0.54807
-0.33758,-0.40617,6.5,2.08661038168919,-0.37077,-0.04596,2006-01-01,3.1151,0.60254
-0.32344,-0.44322,6.5,2.09734927318781,-0.42506,-0.05951,2006-05-01,3.09915,0.60317
-0.27892,-0.39046,6.9,2.32186422141836,-0.39436,0.00823,2007-01-01,2.97175,0.64099
-0.26469,-0.39826,6.9,2.50740410996239,-0.37427,0.09533,2007-06-01,2.75185,0.73346
-0.03479,-0.35504,7,3.44581456595043,-0.24607,0.31501,2008-06-01,2.03145,0.8839
-0.3253,-0.47831,7.6,2.40868393946597,-0.34693,-0.30325,2009-07-01,3.15525,0.31663
-0.2021,-0.4103,8.1,2.85648793045686,-0.22195,-0.18287,2010-01-01,2.83565,0.56015
-0.30457,-0.40075,8.3,2.59626513184648,-0.25471,-0.29268,2010-07-01,3.1969,0.33293
-0.24092,-0.3739,8.63,3.08566933638444,-0.2071,-0.24435,2011-07-01,2.7968,0.35748
-0.38414,-0.41659,9.1,2.58489681716826,-0.32393,-0.37866,2012-01-01,3.52045,0.06006
-0.39231,-0.39468,9.1,2.62979178406809,-0.3682,-0.35718,2012-07-01,3.46035,0.07351
-0.32612,-0.39667,9.1,2.94307891332471,-0.30721,-0.16246,2013-01-01,3.092,0.1442
-0.40008,-0.41331,9.2,2.73362056158075,-0.32001,-0.14485,2013-07-01,3.3655,0.04802
-0.3516,-0.39573,9.2,2.99830530569678,-0.35197,0.00825,2014-01-01,3.0684,0.09299
-0.37531,-0.39531,9.2,2.99537670117862,-0.39182,-0.17805,2014-07-01,3.0714,0.09859
-0.48182,-0.41788,9.2,2.48205902983867,-0.43179,-0.21,2015-01-01,3.7066,-0.10364
-0.4689,-0.37246,9.6,2.5439898240407,-0.43623,-0.14787,2015-07-01,3.7736,-0.07082
-0.51892,-0.40692,9.6,2.37171727153692,-0.43823,-0.23948,2016-01-01,4.0477,-0.11624
-0.51968,-0.42439,9.6,2.42078852142776,-0.38562,-0.30173,2016-07-01,3.96565,-0.13086
-0.54526,-0.43351,9.6,2.30097192095203,-0.38285,-0.29357,2017-01-01,4.17215,-0.18684
-0.48615,-0.39006,10.1,2.72339966564202,-0.3376,-0.18972,2017-07-01,3.7086,-0.06641
-0.43834,-0.38674,10.1,2.96557292813624,-0.328,-0.13589,2018-01-01,3.40575,-0.06497
-0.50283,-0.42147,10.1,2.73939163807483,-0.35262,-0.21857,2018-07-01,3.68695,-0.11511
-0.498,-0.39655,10.5,2.80115781189558,-0.31226,-0.22113,2019-01-01,3.74845,-0.08196
-0.50587,-0.37967,10.8,2.83632066180815,-0.30844,-0.20899,2019-07-09,3.80775,-0.07015
-0.48901,-0.36768,11,2.89732918927461,-0.34304,-0.18251,2020-01-14,3.7966,-0.07218
-0.51148,-0.41718,11,2.78943564645171,-0.34786,-0.23273,2020-07-01,3.94345,-0.09973
-0.37921,-0.31958,13.08,3.51367323913394,-0.20822,-0.06036,2021-01-01,3.7226,0.01569
-0.39158,-0.31558,13.43,3.43755199201403,-0.27637,-0.03101,2021-07-01,3.90685,-0.00561
