CNY_RAW,JPY_RAW,DATE,DOLLAR_EX,GBP_RAW,USD_RAW,LOCAL_PRICE,DOLLAR_PRICE,EUR_RAW
-0.49049,-0.72398,2004-05-01,3.7502,-0.80983,-0.77932,2.4,0.639965868487014,-0.80536
0.8917,0.02444,2005-06-01,3.7501,-0.30243,-0.21571,9,2.39993600170662,-0.33021
0.835,0.0765,2006-05-01,3.749,-0.34193,-0.2256,9,2.40064017071219,-0.3627
0.69666,0.04244,2007-01-01,3.749,-0.37381,-0.25446,9,2.40064017071219,-0.36978
0.65901,0.04829,2007-06-01,3.75045,-0.40114,-0.29627,9,2.39971203455585,-0.4241
0.45809,0.01779,2008-06-01,3.74955,-0.41648,-0.25294,10,2.66698670507128,-0.50082
0.60324,-0.15158,2009-07-01,3.7504,-0.20477,-0.17843,11,2.9330204778157,-0.36475
0.45639,-0.23721,2010-01-01,3.7502,-0.27369,-0.25516,10,2.66652445202923,-0.44951
0.36891,-0.27359,2010-07-01,3.75045,-0.23459,-0.2858,10,2.66634670506206,-0.38457
0.17309,-0.34699,2011-07-01,3.7502,-0.31481,-0.34403,10,2.66652445202923,-0.45895
0.09353,-0.35903,2012-01-01,3.7502,-0.30258,-0.36469,10,2.66652445202923,-0.39817
0.08849,-0.34821,2012-07-01,3.75025,-0.35938,-0.38383,10,2.66648890073995,-0.38623
0.14035,-0.16528,2013-01-01,3.7502,-0.30955,-0.32839,11,2.93317689723215,-0.3987
0.0223,-0.16584,2013-07-01,3.7502,-0.3367,-0.41481,10,2.66652445202923,-0.42771
0.06919,-0.0137,2014-01-01,3.7504,-0.36608,-0.36572,11,2.9330204778157,-0.40888
0.07574,-0.19515,2014-07-01,3.75035,-0.40447,-0.38831,11,2.93305958110576,-0.40789
0.05738,-0.06808,2015-01-01,3.7569,-0.32972,-0.38874,11,2.92794591285368,-0.31331
0.16862,0.07171,2015-07-01,3.75055,-0.29095,-0.33204,12,3.19953073549213,-0.21075
0.19103,0.02494,2016-01-01,3.7543,-0.24291,-0.35166,12,3.19633486934981,-0.20072
0.14875,-0.0771,2016-07-01,3.7505,-0.18797,-0.36516,12,3.19957339021464,-0.23922
0.13068,-0.01773,2017-01-01,3.75065,-0.14187,-0.3677,12,3.19944542945889,-0.2123
0.09693,-0.04795,2017-07-01,3.75015,-0.22171,-0.39625,12,3.1998720051198,-0.28335
0.00886,-0.06765,2018-01-01,3.7503,-0.27494,-0.39399,12,3.19974402047836,-0.33832
0.03357,-0.08728,2018-07-01,3.7504,-0.24385,-0.4193,12,3.19965870307167,-0.32427
0.04844,-0.11051,2019-01-01,3.75115,-0.21458,-0.4267,12,3.19901896751663,-0.31084
0.1364,-0.03329,2019-07-09,3.75035,-0.15482,-0.39611,13,3.46634314130681,-0.24187
0.10961,-0.02234,2020-01-14,3.7518,-0.21432,-0.38889,13,3.46500346500347,-0.24379
0.20457,0.02662,2020-07-01,3.75105,-0.12743,-0.34636,14,3.7322882926114,-0.22019
0.07867,-0.0021,2021-01-01,3.7518,-0.15913,-0.34072,14,3.73154219308065,-0.27739
0.07975,0.05217,2021-07-01,3.7507,-0.21425,-0.33936,14,3.73263657450609,-0.25683
