Dollar_ex,Usd_raw,Jpy_raw,Local_price,Dollar_price,Date,Gbp_raw,Cny_raw,Eur_raw
8.84,0.08165,-0.02115,24,2.71493212669683,2000-04-01,-0.09563,1.27067,0.14034
10.28,-0.08085,-0.01533,24,2.33463035019455,2001-04-01,-0.17959,0.9526,0.03229
10.4,0.00402,0.24046,26,2.5,2002-04-01,-0.1336,0.97143,0.05206
8.34,0.32735,0.64754,30,3.59712230215827,2003-04-01,0.14405,2.0085,0.20668
7.61,0.35937,0.70025,30,3.94218134034166,2004-05-01,0.17146,2.13858,0.19896
7.4402,0.36162,0.77854,31,4.16655466250907,2005-06-01,0.21107,2.2842,0.16282
7.7119,0.35844,0.95649,33,4.27910112942336,2006-01-01,0.29039,2.28639,0.21779
7.28455,0.46133,1.0314,33,4.53013569815569,2006-05-01,0.24182,2.46275,0.20261
7.04125,0.41138,0.97343,32,4.54464761228475,2007-01-01,0.18544,2.21195,0.19307
6.79165,0.4249,1.12256,33,4.85890762922118,2007-06-01,0.21256,2.35914,0.16608
5.96085,0.78569,1.43283,38,6.37492974995177,2008-06-01,0.3948,2.4853,0.1932
7.90915,0.38123,0.42637,39,4.93099764197164,2009-07-01,0.33694,1.69536,0.06798
7.0821,0.53822,0.5753,39,5.50684119117211,2010-01-01,0.49996,2.0077,0.13685
7.37355,0.75821,0.78828,48.4,6.56400241403395,2010-07-01,0.88429,2.36997,0.51505
6.3352,0.87942,0.87093,48.4,7.63985351685819,2011-07-01,0.96315,2.36101,0.55017
6.9338,0.4088,0.42135,41,5.91306354379994,2012-01-01,0.54655,1.42493,0.33457
6.9777,0.32379,0.4003,39.97301987,5.72868135202144,2012-07-01,0.3763,1.33851,0.31863
6.3492,0.46268,0.81791,40.55930138,6.38809635544636,2013-01-01,0.50372,1.48353,0.30956
6.7583,0.35118,0.92604,41.61,6.15687377003092,2013-07-01,0.53153,1.36043,0.32139
6.47315,0.35971,1.11433,40.7,6.28751071734781,2014-01-01,0.35893,1.29202,0.26717
6.836,0.24166,0.63375,40.7,5.95377413692218,2014-07-01,0.20885,1.18363,0.20192
8.19145,0.03729,0.58142,40.7,4.96859530363977,2015-01-01,0.13744,0.79433,0.16529
8.52265,0.07046,0.71751,43.7,5.12751315611928,2015-07-01,0.1363,0.87281,0.26483
8.60185,0.06114,0.67752,45,5.23143277318251,2016-01-01,0.23913,0.94936,0.30819
8.59485,0.03744,0.5082,44.94,5.22871254297632,2016-07-01,0.32701,0.87728,0.24327
9.12455,0.03963,0.61505,48,5.26053339616748,2017-01-01,0.41094,0.85906,0.29513
8.41565,0.09791,0.73128,48.97,5.81892070131244,2017-07-01,0.4153,0.99474,0.30322
8.0188,0.15968,0.78416,49.1,6.12311068987879,2018-01-01,0.3875,0.93058,0.26621
8.7526,0.0575,0.66214,51,5.82684002467838,2018-07-01,0.377,0.88221,0.23057
8.90625,0.04634,0.62343,52,5.83859649122807,2019-01-01,0.43349,0.91352,0.2578
9.47505,-0.06227,0.50111000000000006,51,5.38255734798233,2019-07-09,0.3124,0.76461,0.17722
9.4591,-0.03977,0.53618,51.5,5.4444926050047,2020-01-14,0.23452,0.7435,0.18822
9.1384,0.00804,0.58325,52.6,5.75593101637048,2020-07-01,0.34568,0.85768,0.20263
8.29525,0.12628,0.70475,52.88,6.37473252765137,2021-01-01,0.43649,0.84272,0.23447
8.7165,0.09649,0.74632,54,6.19514713474445,2021-07-01,0.30413,0.79208,0.23346
