Gbp_raw,Eur_raw,Dollar_price,Date,Usd_raw,Cny_raw,Jpy_raw,Dollar_ex,Local_price
-0.51787,-0.39207,1.44736842105263,2000-04-01,-0.42336,0.21053,-0.47816,38,55
-0.57522,-0.46552,1.20879120879121,2001-04-01,-0.5241,0.01099,-0.49017,45.5,55
-0.5598,-0.46547,1.270207852194,2002-04-01,-0.48988,0.00165,-0.36974,43.3,55
-0.56055,-0.53649,1.38173302107728,2003-04-01,-0.49014,0.15563,-0.36715,42.7,59
-0.57028,-0.5602,1.44607843137255,2004-05-01,-0.50135,0.1513,-0.37631,40.8,59
-0.56971,-0.58685,1.48038490007402,2005-06-01,-0.51621,0.16688,-0.36808,40.53,60
-0.54488,-0.57048,1.50924412023645,2006-01-01,-0.52087,0.15911,-0.30994,39.755,60
-0.57218,-0.58569,1.56067108856808,2006-05-01,-0.49656,0.19295,-0.30016,38.445,60
-0.54186,-0.53891,1.75637393767705,2007-01-01,-0.45454,0.24133,-0.23733,35.3,62
-0.55094,-0.56816,1.79944855608765,2007-06-01,-0.4723,0.24402,-0.21393,34.455,62
-0.59337,-0.65214,1.85851318944844,2008-06-01,-0.47941,0.01609,-0.29074,33.36,62
-0.48821,-0.59117,1.88760427337919,2009-07-01,-0.47126,0.03179,-0.45398,34.165,64.49
-0.42458,-0.56387,2.112569790252,2010-01-01,-0.4099,0.15383,-0.39567,33.135,70
-0.37798,-0.49986,2.16684723726977,2010-07-01,-0.41959,0.11246,-0.40967,32.305,70
-0.39539,-0.52258,2.35294117647059,2011-07-01,-0.42117,0.03513,-0.42379,29.75,70
-0.35746,-0.44553,2.45669291338583,2012-01-01,-0.41469,0.00748,-0.40947,31.75,78
-0.37854,-0.40458,2.58675078864353,2012-07-01,-0.40225,0.05594,-0.3677,31.7,82
-0.31173,-0.4006,2.92387833977483,2013-01-01,-0.33052,0.13673,-0.16793,29.755,87
-0.29212,-0.38925,2.84572342126299,2013-07-01,-0.37548,0.091,-0.10978,31.275,89
-0.36886,-0.41148,2.92015209125475,2014-01-01,-0.3685,0.0645,-0.01803,32.875,96
-0.3675,-0.37112,3.11516677155444,2014-07-01,-0.35033,0.14253,-0.14518,31.78,99
-0.3049,-0.28788,3.03634411900015,2015-01-01,-0.36611,0.09653,-0.03358,32.605,99
-0.29787,-0.21845,3.16831683168317,2015-07-01,-0.33856,0.15722,0.06126,34.0875,108
-0.26757,-0.22675,3.09221424627278,2016-01-01,-0.37278,0.15224,-0.00844,36.22,112
-0.13624,-0.19075,3.4034034034034,2016-07-01,-0.32472,0.22193,-0.0183,34.965,119
-0.10277,-0.17641,3.34523374469401,2017-01-01,-0.33889,0.1822,0.02703,35.573,119
-0.14963,-0.21697,3.49624667636214,2017-07-01,-0.34033,0.19852,0.04023,34.0365,119
-0.15601,-0.22979,3.7245696400626,2018-01-01,-0.29459,0.17433,0.08527,31.95,119
-0.15218,-0.24234,3.5875791377751,2018-07-01,-0.3489,0.15888,0.02338,33.17,119
-0.08719,-0.19906,3.71787862219792,2019-01-01,-0.33371,0.21849,0.03376,32.0075,119
-0.05879,-0.15574,3.86018976563134,2019-07-09,-0.32749,0.26552,0.076550000000000007,30.8275,119
-0.13877,-0.17107,3.79819998348609,2020-01-14,-0.33012,0.21631,0.07168,30.2775,115
-0.04651,-0.14788,4.0783813923849,2020-07-01,-0.28575,0.31626,0.12182,31.385,128
-0.04269,-0.17733,4.24825755061401,2021-01-01,-0.24942,0.22803,0.13608,30.13,128
-0.17876,-0.22326,3.90124961901859,2021-07-01,-0.30951,0.12852,0.0997,32.81,128
