CNY_RAW,GBP_RAW,DOLLAR_EX,USD_RAW,DOLLAR_PRICE,DATE,JPY_RAW,LOCAL_PRICE,EUR_RAW
0.91325,-0.23798,30.6,-0.08861,2.28758169934641,2000-04-01,-0.17523,70,-0.03915
0.7795,-0.25232,32.9,-0.16234,2.12765957446809,2001-04-01,-0.10262,70,-0.05922
0.58621,-0.3029,34.8,-0.19217,2.01149425287356,2002-04-01,-0.00193,70,-0.15352
0.68234,-0.36025,34.8,-0.25775,2.01149425287356,2003-04-01,-0.0787,70,-0.32523
0.78777,-0.33273,33.4,-0.22569,2.24550898203593,2004-05-01,-0.03152,75,-0.31706
0.8963,-0.30073,31.175,-0.2138,2.40577385725742,2005-06-01,0.02693,75,-0.32858
0.80287,-0.29211,31.9495,-0.25478,2.34745457675394,2006-01-01,0.0733,75,-0.33194
0.78366,-0.36034,32.141,-0.24727,2.3334681559379,2006-05-01,0.04637,75,-0.38054
0.60989,-0.40583,32.9255,-0.29259,2.27786973622268,2007-01-01,-0.01088,75,-0.40201
0.58222,-0.42886,32.7705,-0.32884,2.28864374971392,2007-06-01,-2.3e-4,75,-0.45075
0.35048,-0.45954,30.3625,-0.30808,2.47015232606011,2008-06-01,-0.05733,75,-0.53766
0.23574,-0.38706,33.1755,-0.36675,2.2607044355021,2009-07-01,-0.34606,75,-0.51036
0.28643,-0.35845,31.8425,-0.34208,2.35534270236319,2010-01-01,-0.32622,75,-0.51376
0.19933,-0.32941,32.1055,-0.37427,2.336048340627,2010-07-01,-0.36357,75,-0.46081
0.1443,-0.33162,28.834,-0.36012,2.60109592841784,2011-07-01,-0.36302,75,-0.47222
0.02594,-0.34568,29.9795,-0.40396,2.50170950149269,2012-01-01,-0.39865,75,-0.43537
0.01392,-0.40327,30.1955,-0.42604,2.48381381331655,2012-07-01,-0.39286,75,-0.42828
-0.01166,-0.40158,29.502,-0.41791,2.54220052877771,2013-01-01,-0.27655,75,-0.47885
0.00861,-0.34558,30.0285,-0.42264,2.6308340409943902,2013-07-01,-0.177,79,-0.43537
-0.04518,-0.43389,30.161,-0.43357,2.61927654918604,2014-01-01,-0.1192,79,-0.47212
-0.03361,-0.46501,29.982,-0.45049,2.63491428190248,2014-07-01,-0.27697,79,-0.46807
-0.0941,-0.42574,31.493,-0.47631,2.50849395103674,2015-01-01,-0.20159,79,-0.41168
-0.06981,-0.43562,31.02,-0.46832,2.54674403610574,2015-07-01,-0.14694,79,-0.37178
-0.2263,-0.50819,33.2315,-0.57884,2.07634322856326,2016-01-01,-0.3342,69,-0.48078
-0.22654,-0.45325,32.029,-0.57256,2.15429766773861,2016-07-01,-0.3786,69,-0.48776
-0.23572,-0.41995,31.905,-0.57259,2.16267042783263,2017-01-01,-0.33603,69,-0.46756
-0.22391,-0.44935,30.4775,-0.57284,2.26396522024444,2017-07-01,-0.32641,69,-0.49296
-0.26385,-0.47093,29.553,-0.55781,2.33478834636078,2018-01-01,-0.31969,69,-0.51719
-0.26616,-0.46313,30.3725,-0.5877,2.27179191703021,2018-07-01,-0.35196,69,-0.52022
-0.26586,-0.45003,30.803,-0.59856,2.24004155439405,2019-01-01,-0.37715,69,-0.51743
-0.24277,-0.43682,31.172,-0.5976,2.30976517387399,2019-07-09,-0.35584,72,-0.49483
-0.22847,-0.45371,29.8845,-0.57508,2.40927571148923,2020-01-14,-0.32021,72,-0.47419
-0.21113,-0.42855,29.4565,-0.57193,2.44428224670277,2020-07-01,-0.32767,72,-0.4893
-0.25615,-0.42014,27.98,-0.54536,2.57326661901358,2021-01-01,-0.31185,72,-0.50169
-0.25742,-0.45961,28.0475,-0.54565,2.56707371423478,2021-07-01,-0.27638,72,-0.48889
