Date,Gbp_raw,Eur_raw,Cny_raw,Usd_raw,Local_price,Dollar_ex,Dollar_price,Jpy_raw
2004-05-01,-0.59591,-0.58642,0.08264,-0.53109,7.25,5.3315,1.35984244584076,-0.4135
2005-06-01,-0.58353,-0.60012,0.12938,-0.53176,7.25,5.06,1.43280632411067,-0.38839
2006-05-01,-0.5386,-0.55317,0.28658,-0.45704,8.5,5.05,1.68316831683168,-0.24523
2007-01-01,-0.53513,-0.53214,0.25956,-0.44653,9,5.05,1.78217821782178,-0.22612
2007-06-01,-0.54085,-0.55845,0.27198,-0.46045,9.25,5.0275,1.83988065638986,-0.19627
2008-06-01,-0.4768,-0.55242,0.30737,-0.33017,11,4.6,2.39130434782609,-0.08742
2009-07-01,-0.50446,-0.60415,-9.6e-4,-0.48805,14,7.66,1.82767624020888,-0.47132
2010-01-01,-0.50218,-0.62269,-0.00177,-0.48948,14,7.66,1.82767624020888,-0.47717
2010-07-01,-0.47304,-0.5763,-0.05756,-0.5083,14.5,7.899,1.83567540194961,-0.49989
2011-07-01,-0.46962,-0.58119,-0.09196,-0.49224,16.5,7.994,2.06404803602702,-0.49453
2012-01-01,-0.44701,-0.52281,-0.13293,-0.49626,17,8.0405,2.11429637460357,-0.49178
2012-07-01,-0.5543,-0.57298,-0.2427,-0.57131,15,8.0855,1.85517284026962,-0.54653
2013-01-01,-0.45082,-0.52173,-0.09299,-0.46581,19,8.144,2.33300589390963,-0.33608
2013-07-01,-0.42044,-0.49996,-0.10678,-0.48869,19,8.155,2.3298589822195,-0.27115
2014-01-01,-0.5099,-0.543,-0.17339,-0.50963,19,8.379,2.26757369614512,-0.23747
2014-07-01,-0.66985,-0.67175,-0.40364,-0.66089,19,11.685,1.6260162601626,-0.55381
2015-01-01,-0.72509,-0.71836,-0.56633,-0.7493,19,15.822,1.20085956263431,-0.61779
2015-07-01,-0.65673,-0.61791,-0.43424,-0.67662,34,21.95,1.54897494305239,-0.48116
2016-01-01,-0.63482,-0.61446,-0.4255,-0.68727,36,23.35,1.54175588865096,-0.50562
2016-07-01,-0.60089,-0.62608,-0.43539,-0.68798,39,24.8,1.57258064516129,-0.5464
2017-01-01,-0.58638,-0.62033,-0.45501,-0.69523,42,27.235,1.54213328437672,-0.52654
2017-07-01,-0.58704,-0.61974,-0.41797,-0.67965,44,25.915,1.69785838317577,-0.49484
2018-01-01,-0.62911,-0.66153,-0.48393,-0.69,47,28.715,1.6367752045969,-0.52307
2018-07-01,-0.54899,-0.59695,-0.38352,-0.65364,50,26.199,1.90846978892324,-0.4556
2019-01-01,-0.52309,-0.58154,-0.36339,-0.65189,54,27.8,1.94244604316547,-0.4599
2019-07-09,-0.45812,-0.51393,-0.2714,-0.61282,57,25.6475,2.22243883419437,-0.3802
2020-01-14,-0.46125,-0.48146,-0.23913,-0.58095,57,23.99,2.3759899958316,-0.32961
2020-07-01,-0.49157,-0.54562,-0.29813,-0.61914,59,27.13,2.17471433837081,-0.40181
2021-01-01,-0.50351,-0.57334,-0.36311,-0.61073,62,28.14,2.20326936744847,-0.41079
2021-07-01,-0.49732,-0.52456,-0.30923,-0.57735,65,27.22,2.38795003673769,-0.32687
