DOLLAR_EX,CNY_RAW,JPY_RAW,DATE,GBP_RAW,LOCAL_PRICE,EUR_RAW,USD_RAW,DOLLAR_PRICE
29.735,-0.20211,-0.56776,2004-05-01,-0.70219,29.8,-0.6952,-0.65442,1.00218597612241
24.125,0.4376,-0.22148,2005-06-01,-0.46988,44,-0.49099,-0.40398,1.82383419689119
23.925,0.35081,-0.20756,2006-05-01,-0.51557,42.28,-0.53087,-0.42994,1.76718913270637
23.925,0.62472,-0.00177,2007-01-01,-0.40036,55,-0.3965,-0.28607,2.29885057471264
23.945,0.79005,0.13109,2007-06-01,-0.35384,62,-0.37861,-0.24068,2.5892670703696
19.15,0.74151,0.21562,2008-06-01,-0.30306,61,-0.40379,-0.10774,3.18537859007833
23.17,0.43908,-0.23845,2009-07-01,-0.28619,61,-0.42979,-0.26254,2.63271471730686
23.17,0.81509,-0.04934,2010-01-01,-0.09481,77,-0.31393,-0.07171,3.32326283987915
21.1,0.92221,0.02003,2010-07-01,0.07479,79,-0.13582,0.00288,3.74407582938389
18.45,1.14601,0.19459,2011-07-01,0.25347,90,-0.01022,0.20001,4.87804878048781
19.45,0.89762,0.11228,2012-01-01,0.21025,90,0.04436,0.10246,4.62724935732648
21.87,0.84787,0.10651,2012-07-01,0.08754,99,0.04197,0.04604,4.52674897119342
19.28,1.11729,0.54983,2013-01-01,0.28197,105,0.11645,0.24698,5.44605809128631
21.085,0.90918,0.55784,2013-07-01,0.23875,105,0.06878,0.09287,4.97984349063315
21.38,0.79029,0.65149,2014-01-01,0.06145,105,-0.01022,0.06206,4.911131898971
22.97,0.80428,0.34993,2014-07-01,-0.00115,113,-0.00688,0.02596,4.91946016543317
24.425,0.67075,0.47251,2015-01-01,0.0591,113,0.08504,-0.03415,4.62640736949846
27.345,0.50934,0.38418,2015-07-01,-0.08423,113,0.01936,-0.13729,4.13238251965624
30.185,0.39495,0.20042,2016-01-01,-0.11329,113,-0.06387,-0.24065,3.74358124896472
30.165,0.46398,0.17616,2016-07-01,0.03486,123,-0.03045,-0.19096,4.07757334659373
28.725,0.53785,0.336,2017-01-01,0.16715,125,0.07136,-0.14,4.35161009573542
28.705,0.5525,0.34745,2017-07-01,0.10152,130,0.01429,-0.1455,4.52882773036057
28.58,0.54448,0.42734,2018-01-01,0.11001,140,0.01297,-0.07225,4.89853044086774
31.31,0.44438,0.2755,2018-07-01,0.05669,140,-0.05568,-0.18849,4.47141488342383
32.51,0.41136,0.19739,2019-01-01,0.0573,140,-0.07228,-0.22825,4.30636727160874
35.1695,0.52875,0.30048,2019-07-09,0.13698,164,0.01988,-0.18761,4.66313140647436
37.435,0.53123,0.34915,2020-01-14,0.08421,179,0.04355,-0.15668,4.78162147722719
43.675,0.39664,0.19032,2020-07-01,0.01171,189,-0.09584,-0.24213,4.32741843159702
42.495,0.38768,0.28378,2021-01-01,0.08176,204,-0.07037,-0.15184,4.80056477232616
44,0.47923,0.44146,2021-07-01,0.07646,225,0.01813,-0.09493,5.11363636363636
