Cny_raw,Usd_raw,Jpy_raw,Gbp_raw,Dollar_ex,Eur_raw,Dollar_price,Date,Local_price
1.30038,0.17155,0.44744,0.01097,857,0.2276,2.9171528588098,2002-04-01,2500
0.93651,-0.14561,0.06049,-0.2636,1598,-0.22328,2.3153942428035,2003-04-01,3700
0.17671,-0.49035,-0.36254,-0.5608,2977,-0.55049,1.4779979845482,2004-05-01,4400
0.6786,-0.30406,-0.09097,-0.38101,2629.62,-0.40566,2.12958526326998,2005-06-01,5600
0.73218,-0.28399,0.03122,-0.31986,2615.92,-0.35813,2.2554206550659,2006-01-01,5900
0.72962,-0.27007,0.01467,-0.37972,2519.58,-0.3993,2.26277792330468,2006-05-01,5701.25
0.165,-0.48808,-0.28422,-0.57003,4125.278,-0.56727,1.6483737580837,2007-01-01,6800
1.38248,0.01061,0.50543,-0.13999,2147.3,-0.17296,3.44618823638989,2007-06-01,7400
1.86824,0.60387,0.59662,0.67532,4.29465,0.32289,6.51973967610865,2011-07-01,28
1.86471,0.6643,0.67912,0.82702,4.29465,0.5766,6.98543536725927,2012-01-01,30
2.23173,0.82942,0.93517,0.902,4.29465,0.82229,7.9168267495605,2012-07-01,34
2.53049,1.07929,1.58427,1.13764,4.29465,0.86163,9.08106597743704,2013-01-01,39
1.74188,0.56953,1.23729,0.77903,6.2921,0.53493,7.15182530474722,2013-07-01,45
1.6071,0.54662,1.40497,0.54574,6.2921,0.44136,7.15182530474722,2014-01-01,45
1.50066,0.42194,0.87095,0.38436,11,0.37643,6.81818181818182,2014-07-01,75
-0.08507,-0.47109,-0.19363,-0.42002,52.1021,-0.40582,2.53348713391591,2015-01-01,132
-0.75527,-0.86011,-0.77556,-0.85151,197,-0.83471,0.67005076142132,2015-07-01,132
-0.75246,-0.86525,-0.78698,-0.84265,198.6986,-0.83388,0.66432274812203,2016-01-01,132
0.21469,-0.32873,-0.02412,-0.14136,641.4001,-0.19555,3.38322366959406,2016-07-01,2170
0.8542,0.03691,0.61083,0.40725,676.6047,0.29175,5.24678590024574,2017-01-01,3550
0.39026,-0.2348,0.20663,-0.01359,2700,-0.09171,4.05555555555556,2017-07-01,10950
